mix_code,issue_code,issue_description
DS2-1,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-2,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-3,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-4,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-5,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-6,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-7,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-8,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-9,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-10,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-11,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-12,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-13,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-14,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-15,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-16,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-17,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-18,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-19,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-20,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-21,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-22,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-23,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-24,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-25,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-26,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-27,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-28,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-29,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
DS2-30,LOW_COMPONENT_COUNT,Mix has only 2 components (expected >= 6)
