mix_code,issue_code,issue_description
1,NO_SPECIMEN,Hardened result (id=9433) has no linked specimen
2,NO_SPECIMEN,Hardened result (id=9435) has no linked specimen
3,NO_SPECIMEN,Hardened result (id=9437) has no linked specimen
4,NO_SPECIMEN,Hardened result (id=9439) has no linked specimen
5,NO_SPECIMEN,Hardened result (id=9441) has no linked specimen
6,NO_SPECIMEN,Hardened result (id=9443) has no linked specimen
7,NO_SPECIMEN,Hardened result (id=9445) has no linked specimen
8,NO_SPECIMEN,Hardened result (id=9447) has no linked specimen
9,NO_SPECIMEN,Hardened result (id=9449) has no linked specimen
10,NO_SPECIMEN,Hardened result (id=9451) has no linked specimen
11,NO_SPECIMEN,Hardened result (id=9453) has no linked specimen
12,NO_SPECIMEN,Hardened result (id=9455) has no linked specimen
13,NO_SPECIMEN,Hardened result (id=9457) has no linked specimen
14,NO_SPECIMEN,Hardened result (id=9459) has no linked specimen
15,NO_SPECIMEN,Hardened result (id=9461) has no linked specimen
16,NO_SPECIMEN,Hardened result (id=9463) has no linked specimen
17,NO_SPECIMEN,Hardened result (id=9465) has no linked specimen
18,NO_SPECIMEN,Hardened result (id=9467) has no linked specimen
19,NO_SPECIMEN,Hardened result (id=9469) has no linked specimen
20,NO_SPECIMEN,Hardened result (id=9471) has no linked specimen
21,NO_SPECIMEN,Hardened result (id=9473) has no linked specimen
22,NO_SPECIMEN,Hardened result (id=9475) has no linked specimen
23,NO_SPECIMEN,Hardened result (id=9477) has no linked specimen
24,NO_SPECIMEN,Hardened result (id=9479) has no linked specimen
25,NO_SPECIMEN,Hardened result (id=9481) has no linked specimen
26,NO_SPECIMEN,Hardened result (id=9483) has no linked specimen
27,NO_SPECIMEN,Hardened result (id=9485) has no linked specimen
28,NO_SPECIMEN,Hardened result (id=9487) has no linked specimen
29,NO_SPECIMEN,Hardened result (id=9489) has no linked specimen
30,NO_SPECIMEN,Hardened result (id=9491) has no linked specimen
31,NO_SPECIMEN,Hardened result (id=9493) has no linked specimen
32,NO_SPECIMEN,Hardened result (id=9495) has no linked specimen
33,NO_SPECIMEN,Hardened result (id=9497) has no linked specimen
34,NO_SPECIMEN,Hardened result (id=9499) has no linked specimen
35,NO_SPECIMEN,Hardened result (id=9501) has no linked specimen
36,NO_SPECIMEN,Hardened result (id=9503) has no linked specimen
37,NO_SPECIMEN,Hardened result (id=9505) has no linked specimen
38,NO_SPECIMEN,Hardened result (id=9507) has no linked specimen
39,NO_SPECIMEN,Hardened result (id=9509) has no linked specimen
40,NO_SPECIMEN,Hardened result (id=9511) has no linked specimen
41,NO_SPECIMEN,Hardened result (id=9513) has no linked specimen
