mix_code,issue_code,issue_description
DS3-1,NO_SPECIMEN,Hardened result (id=5720) has no linked specimen
DS3-2,NO_SPECIMEN,Hardened result (id=5721) has no linked specimen
DS3-3,NO_SPECIMEN,Hardened result (id=5722) has no linked specimen
DS3-4,NO_SPECIMEN,Hardened result (id=5723) has no linked specimen
DS3-5,NO_SPECIMEN,Hardened result (id=5724) has no linked specimen
DS3-6,NO_SPECIMEN,Hardened result (id=5725) has no linked specimen
DS3-7,NO_SPECIMEN,Hardened result (id=5726) has no linked specimen
DS3-8,NO_SPECIMEN,Hardened result (id=5727) has no linked specimen
DS3-9,NO_SPECIMEN,Hardened result (id=5728) has no linked specimen
DS3-10,NO_SPECIMEN,Hardened result (id=5729) has no linked specimen
DS3-11,NO_SPECIMEN,Hardened result (id=5730) has no linked specimen
DS3-12,NO_SPECIMEN,Hardened result (id=5731) has no linked specimen
DS3-13,NO_SPECIMEN,Hardened result (id=5732) has no linked specimen
DS3-14,NO_SPECIMEN,Hardened result (id=5733) has no linked specimen
DS3-15,NO_SPECIMEN,Hardened result (id=5734) has no linked specimen
DS3-16,NO_SPECIMEN,Hardened result (id=5735) has no linked specimen
DS3-17,NO_SPECIMEN,Hardened result (id=5736) has no linked specimen
DS3-18,NO_SPECIMEN,Hardened result (id=5737) has no linked specimen
DS3-19,NO_SPECIMEN,Hardened result (id=5738) has no linked specimen
DS3-20,NO_SPECIMEN,Hardened result (id=5739) has no linked specimen
DS3-21,NO_SPECIMEN,Hardened result (id=5740) has no linked specimen
DS3-22,NO_SPECIMEN,Hardened result (id=5741) has no linked specimen
DS3-23,NO_SPECIMEN,Hardened result (id=5742) has no linked specimen
DS3-24,NO_SPECIMEN,Hardened result (id=5743) has no linked specimen
DS3-25,NO_SPECIMEN,Hardened result (id=5744) has no linked specimen
DS3-26,NO_SPECIMEN,Hardened result (id=5745) has no linked specimen
DS3-27,NO_SPECIMEN,Hardened result (id=5746) has no linked specimen
DS3-28,NO_SPECIMEN,Hardened result (id=5747) has no linked specimen
DS3-29,NO_SPECIMEN,Hardened result (id=5748) has no linked specimen
DS3-30,NO_SPECIMEN,Hardened result (id=5749) has no linked specimen
DS3-31,NO_SPECIMEN,Hardened result (id=5750) has no linked specimen
DS3-32,NO_SPECIMEN,Hardened result (id=5751) has no linked specimen
DS3-33,NO_SPECIMEN,Hardened result (id=5752) has no linked specimen
DS3-34,NO_SPECIMEN,Hardened result (id=5753) has no linked specimen
DS3-35,NO_SPECIMEN,Hardened result (id=5754) has no linked specimen
DS3-36,NO_SPECIMEN,Hardened result (id=5755) has no linked specimen
DS3-37,NO_SPECIMEN,Hardened result (id=5756) has no linked specimen
DS3-38,NO_SPECIMEN,Hardened result (id=5757) has no linked specimen
DS3-39,NO_SPECIMEN,Hardened result (id=5758) has no linked specimen
DS3-40,NO_SPECIMEN,Hardened result (id=5759) has no linked specimen
DS3-41,NO_SPECIMEN,Hardened result (id=5760) has no linked specimen
DS3-42,NO_SPECIMEN,Hardened result (id=5761) has no linked specimen
DS3-43,NO_SPECIMEN,Hardened result (id=5762) has no linked specimen
DS3-44,NO_SPECIMEN,Hardened result (id=5763) has no linked specimen
DS3-45,NO_SPECIMEN,Hardened result (id=5764) has no linked specimen
DS3-46,NO_SPECIMEN,Hardened result (id=5765) has no linked specimen
DS3-47,NO_SPECIMEN,Hardened result (id=5766) has no linked specimen
DS3-48,NO_SPECIMEN,Hardened result (id=5767) has no linked specimen
DS3-49,NO_SPECIMEN,Hardened result (id=5768) has no linked specimen
DS3-50,NO_SPECIMEN,Hardened result (id=5769) has no linked specimen
DS3-51,NO_SPECIMEN,Hardened result (id=5770) has no linked specimen
DS3-52,NO_SPECIMEN,Hardened result (id=5771) has no linked specimen
DS3-53,NO_SPECIMEN,Hardened result (id=5772) has no linked specimen
DS3-54,NO_SPECIMEN,Hardened result (id=5773) has no linked specimen
DS3-55,NO_SPECIMEN,Hardened result (id=5774) has no linked specimen
DS3-56,NO_SPECIMEN,Hardened result (id=5775) has no linked specimen
DS3-57,NO_SPECIMEN,Hardened result (id=5776) has no linked specimen
DS3-58,NO_SPECIMEN,Hardened result (id=5777) has no linked specimen
DS3-59,NO_SPECIMEN,Hardened result (id=5778) has no linked specimen
DS3-60,NO_SPECIMEN,Hardened result (id=5779) has no linked specimen
DS3-61,NO_SPECIMEN,Hardened result (id=5780) has no linked specimen
DS3-62,NO_SPECIMEN,Hardened result (id=5781) has no linked specimen
DS3-63,NO_SPECIMEN,Hardened result (id=5782) has no linked specimen
DS3-64,NO_SPECIMEN,Hardened result (id=5783) has no linked specimen
DS3-65,NO_SPECIMEN,Hardened result (id=5784) has no linked specimen
DS3-66,NO_SPECIMEN,Hardened result (id=5785) has no linked specimen
DS3-67,NO_SPECIMEN,Hardened result (id=5786) has no linked specimen
DS3-68,NO_SPECIMEN,Hardened result (id=5787) has no linked specimen
DS3-69,NO_SPECIMEN,Hardened result (id=5788) has no linked specimen
DS3-70,NO_SPECIMEN,Hardened result (id=5789) has no linked specimen
DS3-71,NO_SPECIMEN,Hardened result (id=5790) has no linked specimen
DS3-72,NO_SPECIMEN,Hardened result (id=5791) has no linked specimen
DS3-73,NO_SPECIMEN,Hardened result (id=5792) has no linked specimen
DS3-74,NO_SPECIMEN,Hardened result (id=5793) has no linked specimen
DS3-75,NO_SPECIMEN,Hardened result (id=5794) has no linked specimen
DS3-76,NO_SPECIMEN,Hardened result (id=5795) has no linked specimen
DS3-77,NO_SPECIMEN,Hardened result (id=5796) has no linked specimen
DS3-78,NO_SPECIMEN,Hardened result (id=5797) has no linked specimen
DS3-79,NO_SPECIMEN,Hardened result (id=5798) has no linked specimen
DS3-80,NO_SPECIMEN,Hardened result (id=5799) has no linked specimen
DS3-81,NO_SPECIMEN,Hardened result (id=5800) has no linked specimen
DS3-82,NO_SPECIMEN,Hardened result (id=5801) has no linked specimen
DS3-83,NO_SPECIMEN,Hardened result (id=5802) has no linked specimen
DS3-84,NO_SPECIMEN,Hardened result (id=5803) has no linked specimen
DS3-85,NO_SPECIMEN,Hardened result (id=5804) has no linked specimen
DS3-86,NO_SPECIMEN,Hardened result (id=5805) has no linked specimen
DS3-87,NO_SPECIMEN,Hardened result (id=5806) has no linked specimen
DS3-88,NO_SPECIMEN,Hardened result (id=5807) has no linked specimen
DS3-89,NO_SPECIMEN,Hardened result (id=5808) has no linked specimen
DS3-90,NO_SPECIMEN,Hardened result (id=5809) has no linked specimen
DS3-91,NO_SPECIMEN,Hardened result (id=5810) has no linked specimen
DS3-92,NO_SPECIMEN,Hardened result (id=5811) has no linked specimen
DS3-93,NO_SPECIMEN,Hardened result (id=5812) has no linked specimen
DS3-94,NO_SPECIMEN,Hardened result (id=5813) has no linked specimen
DS3-95,NO_SPECIMEN,Hardened result (id=5814) has no linked specimen
DS3-96,NO_SPECIMEN,Hardened result (id=5815) has no linked specimen
DS3-97,NO_SPECIMEN,Hardened result (id=5816) has no linked specimen
DS3-98,NO_SPECIMEN,Hardened result (id=5817) has no linked specimen
DS3-99,NO_SPECIMEN,Hardened result (id=5818) has no linked specimen
DS3-100,NO_SPECIMEN,Hardened result (id=5819) has no linked specimen
DS3-101,NO_SPECIMEN,Hardened result (id=5820) has no linked specimen
DS3-102,NO_SPECIMEN,Hardened result (id=5821) has no linked specimen
DS3-103,NO_SPECIMEN,Hardened result (id=5822) has no linked specimen
DS3-104,NO_SPECIMEN,Hardened result (id=5823) has no linked specimen
DS3-105,NO_SPECIMEN,Hardened result (id=5824) has no linked specimen
DS3-106,NO_SPECIMEN,Hardened result (id=5825) has no linked specimen
DS3-107,NO_SPECIMEN,Hardened result (id=5826) has no linked specimen
DS3-108,NO_SPECIMEN,Hardened result (id=5827) has no linked specimen
DS3-109,NO_SPECIMEN,Hardened result (id=5828) has no linked specimen
DS3-110,NO_SPECIMEN,Hardened result (id=5829) has no linked specimen
DS3-111,NO_SPECIMEN,Hardened result (id=5830) has no linked specimen
DS3-112,NO_SPECIMEN,Hardened result (id=5831) has no linked specimen
DS3-113,NO_SPECIMEN,Hardened result (id=5832) has no linked specimen
DS3-114,NO_SPECIMEN,Hardened result (id=5833) has no linked specimen
DS3-115,NO_SPECIMEN,Hardened result (id=5834) has no linked specimen
DS3-116,NO_SPECIMEN,Hardened result (id=5835) has no linked specimen
DS3-117,NO_SPECIMEN,Hardened result (id=5836) has no linked specimen
DS3-118,NO_SPECIMEN,Hardened result (id=5837) has no linked specimen
DS3-119,NO_SPECIMEN,Hardened result (id=5838) has no linked specimen
DS3-120,NO_SPECIMEN,Hardened result (id=5839) has no linked specimen
DS3-121,NO_SPECIMEN,Hardened result (id=5840) has no linked specimen
DS3-122,NO_SPECIMEN,Hardened result (id=5841) has no linked specimen
DS3-123,NO_SPECIMEN,Hardened result (id=5842) has no linked specimen
DS3-124,NO_SPECIMEN,Hardened result (id=5843) has no linked specimen
DS3-125,NO_SPECIMEN,Hardened result (id=5844) has no linked specimen
DS3-126,NO_SPECIMEN,Hardened result (id=5845) has no linked specimen
DS3-127,NO_SPECIMEN,Hardened result (id=5846) has no linked specimen
DS3-128,NO_SPECIMEN,Hardened result (id=5847) has no linked specimen
DS3-129,NO_SPECIMEN,Hardened result (id=5848) has no linked specimen
DS3-130,NO_SPECIMEN,Hardened result (id=5849) has no linked specimen
DS3-131,NO_SPECIMEN,Hardened result (id=5850) has no linked specimen
DS3-132,NO_SPECIMEN,Hardened result (id=5851) has no linked specimen
DS3-133,NO_SPECIMEN,Hardened result (id=5852) has no linked specimen
DS3-134,NO_SPECIMEN,Hardened result (id=5853) has no linked specimen
DS3-135,NO_SPECIMEN,Hardened result (id=5854) has no linked specimen
DS3-136,NO_SPECIMEN,Hardened result (id=5855) has no linked specimen
DS3-137,NO_SPECIMEN,Hardened result (id=5856) has no linked specimen
DS3-138,NO_SPECIMEN,Hardened result (id=5857) has no linked specimen
DS3-139,NO_SPECIMEN,Hardened result (id=5858) has no linked specimen
DS3-140,NO_SPECIMEN,Hardened result (id=5859) has no linked specimen
DS3-141,NO_SPECIMEN,Hardened result (id=5860) has no linked specimen
DS3-142,NO_SPECIMEN,Hardened result (id=5861) has no linked specimen
DS3-143,NO_SPECIMEN,Hardened result (id=5862) has no linked specimen
DS3-144,NO_SPECIMEN,Hardened result (id=5863) has no linked specimen
DS3-145,NO_SPECIMEN,Hardened result (id=5864) has no linked specimen
DS3-146,NO_SPECIMEN,Hardened result (id=5865) has no linked specimen
DS3-147,NO_SPECIMEN,Hardened result (id=5866) has no linked specimen
DS3-148,NO_SPECIMEN,Hardened result (id=5867) has no linked specimen
DS3-149,NO_SPECIMEN,Hardened result (id=5868) has no linked specimen
DS3-150,NO_SPECIMEN,Hardened result (id=5869) has no linked specimen
DS3-151,NO_SPECIMEN,Hardened result (id=5870) has no linked specimen
DS3-152,NO_SPECIMEN,Hardened result (id=5871) has no linked specimen
DS3-153,NO_SPECIMEN,Hardened result (id=5872) has no linked specimen
DS3-154,NO_SPECIMEN,Hardened result (id=5873) has no linked specimen
DS3-155,NO_SPECIMEN,Hardened result (id=5874) has no linked specimen
DS3-156,NO_SPECIMEN,Hardened result (id=5875) has no linked specimen
DS3-157,NO_SPECIMEN,Hardened result (id=5876) has no linked specimen
DS3-158,NO_SPECIMEN,Hardened result (id=5877) has no linked specimen
DS3-159,NO_SPECIMEN,Hardened result (id=5878) has no linked specimen
DS3-160,NO_SPECIMEN,Hardened result (id=5879) has no linked specimen
DS3-161,NO_SPECIMEN,Hardened result (id=5880) has no linked specimen
DS3-162,NO_SPECIMEN,Hardened result (id=5881) has no linked specimen
DS3-163,NO_SPECIMEN,Hardened result (id=5882) has no linked specimen
DS3-164,NO_SPECIMEN,Hardened result (id=5883) has no linked specimen
DS3-165,NO_SPECIMEN,Hardened result (id=5884) has no linked specimen
DS3-166,NO_SPECIMEN,Hardened result (id=5885) has no linked specimen
DS3-167,NO_SPECIMEN,Hardened result (id=5886) has no linked specimen
DS3-168,NO_SPECIMEN,Hardened result (id=5887) has no linked specimen
DS3-169,NO_SPECIMEN,Hardened result (id=5888) has no linked specimen
DS3-170,NO_SPECIMEN,Hardened result (id=5889) has no linked specimen
DS3-171,NO_SPECIMEN,Hardened result (id=5890) has no linked specimen
DS3-172,NO_SPECIMEN,Hardened result (id=5891) has no linked specimen
DS3-173,NO_SPECIMEN,Hardened result (id=5892) has no linked specimen
DS3-174,NO_SPECIMEN,Hardened result (id=5893) has no linked specimen
DS3-175,NO_SPECIMEN,Hardened result (id=5894) has no linked specimen
DS3-176,NO_SPECIMEN,Hardened result (id=5895) has no linked specimen
DS3-177,NO_SPECIMEN,Hardened result (id=5896) has no linked specimen
DS3-178,NO_SPECIMEN,Hardened result (id=5897) has no linked specimen
DS3-179,NO_SPECIMEN,Hardened result (id=5898) has no linked specimen
DS3-180,NO_SPECIMEN,Hardened result (id=5899) has no linked specimen
DS3-181,NO_SPECIMEN,Hardened result (id=5900) has no linked specimen
DS3-182,NO_SPECIMEN,Hardened result (id=5901) has no linked specimen
DS3-183,NO_SPECIMEN,Hardened result (id=5902) has no linked specimen
DS3-184,NO_SPECIMEN,Hardened result (id=5903) has no linked specimen
DS3-185,NO_SPECIMEN,Hardened result (id=5904) has no linked specimen
DS3-186,NO_SPECIMEN,Hardened result (id=5905) has no linked specimen
DS3-187,NO_SPECIMEN,Hardened result (id=5906) has no linked specimen
DS3-188,NO_SPECIMEN,Hardened result (id=5907) has no linked specimen
DS3-189,NO_SPECIMEN,Hardened result (id=5908) has no linked specimen
DS3-190,NO_SPECIMEN,Hardened result (id=5909) has no linked specimen
DS3-191,NO_SPECIMEN,Hardened result (id=5910) has no linked specimen
DS3-192,NO_SPECIMEN,Hardened result (id=5911) has no linked specimen
DS3-193,NO_SPECIMEN,Hardened result (id=5912) has no linked specimen
DS3-194,NO_SPECIMEN,Hardened result (id=5913) has no linked specimen
DS3-195,NO_SPECIMEN,Hardened result (id=5914) has no linked specimen
DS3-196,NO_SPECIMEN,Hardened result (id=5915) has no linked specimen
DS3-197,NO_SPECIMEN,Hardened result (id=5916) has no linked specimen
DS3-198,NO_SPECIMEN,Hardened result (id=5917) has no linked specimen
DS3-199,NO_SPECIMEN,Hardened result (id=5918) has no linked specimen
DS3-200,NO_SPECIMEN,Hardened result (id=5919) has no linked specimen
DS3-201,NO_SPECIMEN,Hardened result (id=5920) has no linked specimen
DS3-202,NO_SPECIMEN,Hardened result (id=5921) has no linked specimen
DS3-203,NO_SPECIMEN,Hardened result (id=5922) has no linked specimen
DS3-204,NO_SPECIMEN,Hardened result (id=5923) has no linked specimen
DS3-205,NO_SPECIMEN,Hardened result (id=5924) has no linked specimen
DS3-206,NO_SPECIMEN,Hardened result (id=5925) has no linked specimen
DS3-207,NO_SPECIMEN,Hardened result (id=5926) has no linked specimen
DS3-208,NO_SPECIMEN,Hardened result (id=5927) has no linked specimen
DS3-209,NO_SPECIMEN,Hardened result (id=5928) has no linked specimen
DS3-210,NO_SPECIMEN,Hardened result (id=5929) has no linked specimen
DS3-211,NO_SPECIMEN,Hardened result (id=5930) has no linked specimen
DS3-212,NO_SPECIMEN,Hardened result (id=5931) has no linked specimen
DS3-213,NO_SPECIMEN,Hardened result (id=5932) has no linked specimen
DS3-214,NO_SPECIMEN,Hardened result (id=5933) has no linked specimen
DS3-215,NO_SPECIMEN,Hardened result (id=5934) has no linked specimen
DS3-216,NO_SPECIMEN,Hardened result (id=5935) has no linked specimen
DS3-217,NO_SPECIMEN,Hardened result (id=5936) has no linked specimen
DS3-218,NO_SPECIMEN,Hardened result (id=5937) has no linked specimen
DS3-219,NO_SPECIMEN,Hardened result (id=5938) has no linked specimen
DS3-220,NO_SPECIMEN,Hardened result (id=5939) has no linked specimen
DS3-221,NO_SPECIMEN,Hardened result (id=5940) has no linked specimen
DS3-222,NO_SPECIMEN,Hardened result (id=5941) has no linked specimen
DS3-223,NO_SPECIMEN,Hardened result (id=5942) has no linked specimen
DS3-224,NO_SPECIMEN,Hardened result (id=5943) has no linked specimen
DS3-225,NO_SPECIMEN,Hardened result (id=5944) has no linked specimen
DS3-226,NO_SPECIMEN,Hardened result (id=5945) has no linked specimen
DS3-227,NO_SPECIMEN,Hardened result (id=5946) has no linked specimen
DS3-228,NO_SPECIMEN,Hardened result (id=5947) has no linked specimen
DS3-229,NO_SPECIMEN,Hardened result (id=5948) has no linked specimen
DS3-230,NO_SPECIMEN,Hardened result (id=5949) has no linked specimen
DS3-231,NO_SPECIMEN,Hardened result (id=5950) has no linked specimen
DS3-232,NO_SPECIMEN,Hardened result (id=5951) has no linked specimen
DS3-233,NO_SPECIMEN,Hardened result (id=5952) has no linked specimen
DS3-234,NO_SPECIMEN,Hardened result (id=5953) has no linked specimen
DS3-235,NO_SPECIMEN,Hardened result (id=5954) has no linked specimen
DS3-236,NO_SPECIMEN,Hardened result (id=5955) has no linked specimen
DS3-237,NO_SPECIMEN,Hardened result (id=5956) has no linked specimen
DS3-238,NO_SPECIMEN,Hardened result (id=5957) has no linked specimen
DS3-239,NO_SPECIMEN,Hardened result (id=5958) has no linked specimen
DS3-240,NO_SPECIMEN,Hardened result (id=5959) has no linked specimen
DS3-241,NO_SPECIMEN,Hardened result (id=5960) has no linked specimen
DS3-242,NO_SPECIMEN,Hardened result (id=5961) has no linked specimen
DS3-243,NO_SPECIMEN,Hardened result (id=5962) has no linked specimen
DS3-244,NO_SPECIMEN,Hardened result (id=5963) has no linked specimen
DS3-245,NO_SPECIMEN,Hardened result (id=5964) has no linked specimen
DS3-246,NO_SPECIMEN,Hardened result (id=5965) has no linked specimen
DS3-247,NO_SPECIMEN,Hardened result (id=5966) has no linked specimen
DS3-248,NO_SPECIMEN,Hardened result (id=5967) has no linked specimen
DS3-249,NO_SPECIMEN,Hardened result (id=5968) has no linked specimen
DS3-250,NO_SPECIMEN,Hardened result (id=5969) has no linked specimen
DS3-251,NO_SPECIMEN,Hardened result (id=5970) has no linked specimen
DS3-252,NO_SPECIMEN,Hardened result (id=5971) has no linked specimen
DS3-253,NO_SPECIMEN,Hardened result (id=5972) has no linked specimen
DS3-254,NO_SPECIMEN,Hardened result (id=5973) has no linked specimen
DS3-255,NO_SPECIMEN,Hardened result (id=5974) has no linked specimen
DS3-256,NO_SPECIMEN,Hardened result (id=5975) has no linked specimen
DS3-257,NO_SPECIMEN,Hardened result (id=5976) has no linked specimen
DS3-258,NO_SPECIMEN,Hardened result (id=5977) has no linked specimen
DS3-259,NO_SPECIMEN,Hardened result (id=5978) has no linked specimen
DS3-260,NO_SPECIMEN,Hardened result (id=5979) has no linked specimen
DS3-261,NO_SPECIMEN,Hardened result (id=5980) has no linked specimen
DS3-262,NO_SPECIMEN,Hardened result (id=5981) has no linked specimen
DS3-263,NO_SPECIMEN,Hardened result (id=5982) has no linked specimen
DS3-264,NO_SPECIMEN,Hardened result (id=5983) has no linked specimen
DS3-265,NO_SPECIMEN,Hardened result (id=5984) has no linked specimen
DS3-266,NO_SPECIMEN,Hardened result (id=5985) has no linked specimen
DS3-267,NO_SPECIMEN,Hardened result (id=5986) has no linked specimen
DS3-268,NO_SPECIMEN,Hardened result (id=5987) has no linked specimen
DS3-269,NO_SPECIMEN,Hardened result (id=5988) has no linked specimen
DS3-270,NO_SPECIMEN,Hardened result (id=5989) has no linked specimen
DS3-271,NO_SPECIMEN,Hardened result (id=5990) has no linked specimen
DS3-272,NO_SPECIMEN,Hardened result (id=5991) has no linked specimen
DS3-273,NO_SPECIMEN,Hardened result (id=5992) has no linked specimen
DS3-274,NO_SPECIMEN,Hardened result (id=5993) has no linked specimen
DS3-275,NO_SPECIMEN,Hardened result (id=5994) has no linked specimen
DS3-276,NO_SPECIMEN,Hardened result (id=5995) has no linked specimen
DS3-277,NO_SPECIMEN,Hardened result (id=5996) has no linked specimen
DS3-278,NO_SPECIMEN,Hardened result (id=5997) has no linked specimen
DS3-279,NO_SPECIMEN,Hardened result (id=5998) has no linked specimen
DS3-280,NO_SPECIMEN,Hardened result (id=5999) has no linked specimen
DS3-281,NO_SPECIMEN,Hardened result (id=6000) has no linked specimen
DS3-282,NO_SPECIMEN,Hardened result (id=6001) has no linked specimen
DS3-283,NO_SPECIMEN,Hardened result (id=6002) has no linked specimen
DS3-284,NO_SPECIMEN,Hardened result (id=6003) has no linked specimen
DS3-285,NO_SPECIMEN,Hardened result (id=6004) has no linked specimen
DS3-286,NO_SPECIMEN,Hardened result (id=6005) has no linked specimen
DS3-287,NO_SPECIMEN,Hardened result (id=6006) has no linked specimen
DS3-288,NO_SPECIMEN,Hardened result (id=6007) has no linked specimen
DS3-289,NO_SPECIMEN,Hardened result (id=6008) has no linked specimen
DS3-290,NO_SPECIMEN,Hardened result (id=6009) has no linked specimen
DS3-291,NO_SPECIMEN,Hardened result (id=6010) has no linked specimen
DS3-292,NO_SPECIMEN,Hardened result (id=6011) has no linked specimen
DS3-293,NO_SPECIMEN,Hardened result (id=6012) has no linked specimen
DS3-294,NO_SPECIMEN,Hardened result (id=6013) has no linked specimen
DS3-295,NO_SPECIMEN,Hardened result (id=6014) has no linked specimen
DS3-296,NO_SPECIMEN,Hardened result (id=6015) has no linked specimen
DS3-297,NO_SPECIMEN,Hardened result (id=6016) has no linked specimen
DS3-298,NO_SPECIMEN,Hardened result (id=6017) has no linked specimen
DS3-299,NO_SPECIMEN,Hardened result (id=6018) has no linked specimen
DS3-300,NO_SPECIMEN,Hardened result (id=6019) has no linked specimen
DS3-301,NO_SPECIMEN,Hardened result (id=6020) has no linked specimen
DS3-302,NO_SPECIMEN,Hardened result (id=6021) has no linked specimen
DS3-303,NO_SPECIMEN,Hardened result (id=6022) has no linked specimen
DS3-304,NO_SPECIMEN,Hardened result (id=6023) has no linked specimen
DS3-305,NO_SPECIMEN,Hardened result (id=6024) has no linked specimen
DS3-306,NO_SPECIMEN,Hardened result (id=6025) has no linked specimen
DS3-307,NO_SPECIMEN,Hardened result (id=6026) has no linked specimen
DS3-308,NO_SPECIMEN,Hardened result (id=6027) has no linked specimen
DS3-309,NO_SPECIMEN,Hardened result (id=6028) has no linked specimen
