mix_code,issue_code,issue_description
DS3-310,NO_SPECIMEN,Hardened result (id=6029) has no linked specimen
DS3-311,NO_SPECIMEN,Hardened result (id=6030) has no linked specimen
DS3-312,NO_SPECIMEN,Hardened result (id=6031) has no linked specimen
DS3-313,NO_SPECIMEN,Hardened result (id=6032) has no linked specimen
DS3-314,NO_SPECIMEN,Hardened result (id=6033) has no linked specimen
DS3-315,NO_SPECIMEN,Hardened result (id=6034) has no linked specimen
DS3-316,NO_SPECIMEN,Hardened result (id=6035) has no linked specimen
DS3-317,NO_SPECIMEN,Hardened result (id=6036) has no linked specimen
DS3-318,NO_SPECIMEN,Hardened result (id=6037) has no linked specimen
DS3-319,NO_SPECIMEN,Hardened result (id=6038) has no linked specimen
DS3-320,NO_SPECIMEN,Hardened result (id=6039) has no linked specimen
DS3-321,NO_SPECIMEN,Hardened result (id=6040) has no linked specimen
DS3-322,NO_SPECIMEN,Hardened result (id=6041) has no linked specimen
DS3-323,NO_SPECIMEN,Hardened result (id=6042) has no linked specimen
DS3-324,NO_SPECIMEN,Hardened result (id=6043) has no linked specimen
DS3-325,NO_SPECIMEN,Hardened result (id=6044) has no linked specimen
DS3-326,NO_SPECIMEN,Hardened result (id=6045) has no linked specimen
DS3-327,NO_SPECIMEN,Hardened result (id=6046) has no linked specimen
DS3-328,NO_SPECIMEN,Hardened result (id=6047) has no linked specimen
DS3-329,NO_SPECIMEN,Hardened result (id=6048) has no linked specimen
DS3-330,NO_SPECIMEN,Hardened result (id=6049) has no linked specimen
DS3-331,NO_SPECIMEN,Hardened result (id=6050) has no linked specimen
DS3-332,NO_SPECIMEN,Hardened result (id=6051) has no linked specimen
DS3-333,NO_SPECIMEN,Hardened result (id=6052) has no linked specimen
DS3-334,NO_SPECIMEN,Hardened result (id=6053) has no linked specimen
DS3-335,NO_SPECIMEN,Hardened result (id=6054) has no linked specimen
DS3-336,NO_SPECIMEN,Hardened result (id=6055) has no linked specimen
DS3-337,NO_SPECIMEN,Hardened result (id=6056) has no linked specimen
DS3-338,NO_SPECIMEN,Hardened result (id=6057) has no linked specimen
DS3-339,NO_SPECIMEN,Hardened result (id=6058) has no linked specimen
DS3-340,NO_SPECIMEN,Hardened result (id=6059) has no linked specimen
DS3-341,NO_SPECIMEN,Hardened result (id=6060) has no linked specimen
DS3-342,NO_SPECIMEN,Hardened result (id=6061) has no linked specimen
DS3-343,NO_SPECIMEN,Hardened result (id=6062) has no linked specimen
DS3-344,NO_SPECIMEN,Hardened result (id=6063) has no linked specimen
DS3-345,NO_SPECIMEN,Hardened result (id=6064) has no linked specimen
DS3-346,NO_SPECIMEN,Hardened result (id=6065) has no linked specimen
DS3-347,NO_SPECIMEN,Hardened result (id=6066) has no linked specimen
DS3-348,NO_SPECIMEN,Hardened result (id=6067) has no linked specimen
DS3-349,NO_SPECIMEN,Hardened result (id=6068) has no linked specimen
DS3-350,NO_SPECIMEN,Hardened result (id=6069) has no linked specimen
DS3-351,NO_SPECIMEN,Hardened result (id=6070) has no linked specimen
DS3-352,NO_SPECIMEN,Hardened result (id=6071) has no linked specimen
DS3-353,NO_SPECIMEN,Hardened result (id=6072) has no linked specimen
DS3-354,NO_SPECIMEN,Hardened result (id=6073) has no linked specimen
DS3-355,NO_SPECIMEN,Hardened result (id=6074) has no linked specimen
DS3-356,NO_SPECIMEN,Hardened result (id=6075) has no linked specimen
DS3-357,NO_SPECIMEN,Hardened result (id=6076) has no linked specimen
DS3-358,NO_SPECIMEN,Hardened result (id=6077) has no linked specimen
DS3-359,NO_SPECIMEN,Hardened result (id=6078) has no linked specimen
DS3-360,NO_SPECIMEN,Hardened result (id=6079) has no linked specimen
DS3-361,NO_SPECIMEN,Hardened result (id=6080) has no linked specimen
DS3-362,NO_SPECIMEN,Hardened result (id=6081) has no linked specimen
DS3-363,NO_SPECIMEN,Hardened result (id=6082) has no linked specimen
DS3-364,NO_SPECIMEN,Hardened result (id=6083) has no linked specimen
DS3-365,NO_SPECIMEN,Hardened result (id=6084) has no linked specimen
DS3-366,NO_SPECIMEN,Hardened result (id=6085) has no linked specimen
DS3-367,NO_SPECIMEN,Hardened result (id=6086) has no linked specimen
DS3-368,NO_SPECIMEN,Hardened result (id=6087) has no linked specimen
DS3-369,NO_SPECIMEN,Hardened result (id=6088) has no linked specimen
DS3-370,NO_SPECIMEN,Hardened result (id=6089) has no linked specimen
DS3-371,NO_SPECIMEN,Hardened result (id=6090) has no linked specimen
DS3-372,NO_SPECIMEN,Hardened result (id=6091) has no linked specimen
DS3-373,NO_SPECIMEN,Hardened result (id=6092) has no linked specimen
DS3-374,NO_SPECIMEN,Hardened result (id=6093) has no linked specimen
DS3-375,NO_SPECIMEN,Hardened result (id=6094) has no linked specimen
DS3-376,NO_SPECIMEN,Hardened result (id=6095) has no linked specimen
DS3-377,NO_SPECIMEN,Hardened result (id=6096) has no linked specimen
DS3-378,NO_SPECIMEN,Hardened result (id=6097) has no linked specimen
DS3-379,NO_SPECIMEN,Hardened result (id=6098) has no linked specimen
DS3-380,NO_SPECIMEN,Hardened result (id=6099) has no linked specimen
DS3-381,NO_SPECIMEN,Hardened result (id=6100) has no linked specimen
DS3-382,NO_SPECIMEN,Hardened result (id=6101) has no linked specimen
DS3-383,NO_SPECIMEN,Hardened result (id=6102) has no linked specimen
DS3-384,NO_SPECIMEN,Hardened result (id=6103) has no linked specimen
DS3-385,NO_SPECIMEN,Hardened result (id=6104) has no linked specimen
DS3-386,NO_SPECIMEN,Hardened result (id=6105) has no linked specimen
DS3-387,NO_SPECIMEN,Hardened result (id=6106) has no linked specimen
DS3-388,NO_SPECIMEN,Hardened result (id=6107) has no linked specimen
