mix_id,w_c_ratio,w_b_ratio,k_flag,wb_k_reported
551,0.75,0.75,FALSE,
549,0.75,0.75,FALSE,
548,0.75,0.75,FALSE,
12992,,0.75,TRUE,0.75
12452,,0.75,TRUE,0.68
12453,,0.75,TRUE,0.68
12454,,0.75,TRUE,0.68
694,1.88,0.75,FALSE,
12455,,0.75,TRUE,0.68
686,1.88,0.75,FALSE,
12456,,0.75,TRUE,0.68
12457,,0.75,TRUE,0.68
12458,,0.75,TRUE,0.68
12459,,0.75,TRUE,0.68
12460,,0.75,TRUE,0.68
12461,,0.75,TRUE,0.71
12462,,0.75,TRUE,0.71
13227,,0.75,TRUE,0.66
12973,,0.75,TRUE,0.66
712,1.25,0.75,FALSE,
12463,,0.75,TRUE,0.71
12960,,0.75,TRUE,0.66
12941,,0.75,TRUE,0.75
12756,,0.75,TRUE,0.75
663,1.88,0.75,FALSE,
665,1.88,0.75,FALSE,
12464,,0.75,TRUE,0.71
12465,,0.75,TRUE,0.71
12466,,0.75,TRUE,0.71
12467,,0.75,TRUE,0.71
12468,,0.75,TRUE,0.71
12469,,0.75,TRUE,0.71
12923,,0.75,TRUE,0.75
720,1.25,0.75,FALSE,
12995,,0.75,TRUE,0.75
12996,,0.75,TRUE,0.75
13013,,0.75,TRUE,0.75
12998,,0.75,TRUE,0.75
13000,,0.75,TRUE,0.75
13001,,0.75,TRUE,0.75
13002,,0.75,TRUE,0.75
13003,,0.75,TRUE,0.75
13004,,0.75,TRUE,0.75
683,1.88,0.75,FALSE,
13005,,0.75,TRUE,0.75
13006,,0.75,TRUE,0.75
13007,,0.75,TRUE,0.75
13008,,0.75,TRUE,0.75
13009,,0.75,TRUE,0.75
13010,,0.75,TRUE,0.75
13011,,0.75,TRUE,0.75
13012,,0.75,TRUE,0.75
13014,,0.75,TRUE,0.75
13015,,0.75,TRUE,0.75
13016,,0.75,TRUE,0.75
13017,,0.75,TRUE,0.75
13026,,0.75,TRUE,0.75
13018,,0.75,TRUE,0.75
13019,,0.75,TRUE,0.75
13020,,0.75,TRUE,0.75
13021,,0.75,TRUE,0.75
13022,,0.75,TRUE,0.75
13023,,0.75,TRUE,0.75
13024,,0.75,TRUE,0.75
13025,,0.75,TRUE,0.75
13028,,0.75,TRUE,0.75
13029,,0.75,TRUE,0.75
13030,,0.75,TRUE,0.75
