reference_no,study_number,mix_number,author,year,specimen_code,Cement (kg/m3),fly_ash_kg_m3,ggbfs_kg_m3,silica_fume_kg_m3,kaolin_kgm3,other_scm1_kg_m3,other_scm1_type,other_scm2_kg_m3,other_scm2_type,nca_kg_m3,rca_kg_m3,nfa_kg_m3,rca_volume_ratio_%,water_kg_m3,added_water_kg_m3,superplasticizer_kg_m3,water_eff_kg_m3,wbr_total,b_coarseagg_ratio,binder_fineagg_ratio,nca1_sg,nca1_nms_mm,nca1_material_type,nca1_crushing_index_pct,nca1_la_abrasion_pct,nca1_fineness_modulus,nca1_w_abs_pct,nca2_sg,nca2_nms_mm,nca2_material_type,nca2_crushing_index_pct,nca2_la_abrasion_pct,nca2_fineness_modulus,nca2_w_abs_pct,rca1_sg,rca1_nms_mm,rca1_material_type,rca1_crushing_index_pct,rca1_la_abrasion_pct,rca1_fineness_modulus,rca1_w_abs_pct,rca2_sg,rca2_nms_mm,rca2_material_type,rca2_crushing_index_pct,rca2_la_abrasion_pct,rca2_fineness_modulus,rca2_w_abs_pct,nfa1_sg,nfa1_nms_mm,nfa1_material_type,nfa1_crushing_index_pct,nfa1_la_abrasion_pct,nfa1_fineness_modulus,nfa1_w_abs_pct,nfa2_sg,nfa2_nms_mm,nfa2_material_type,nfa2_crushing_index_pct,nfa2_la_abrasion_pct,nfa2_fineness_modulus,nfa2_w_abs_pct,reactivity_modulus,silica_modulus,alumina_modulus,cube_dimension,fc_cube_1d_mpa,fc_cube_3d_mpa,fc_cube_7d_mpa,fc_cube_14d_mpa,fc_cube_21d_mpa,fc_cube_28d_mpa,fc_cube_56d_mpa,fc_cube_90d_mpa,fc_cube_180d_mpa,cyl_dia_mm,cyl_height_mm,fc_cyl_1d_mpa,fc_cyl_3d_mpa,fc_cyl_7d_mpa,fc_cyl_14d_mpa,fc_cyl_21d_mpa,fc_cyl_28d_mpa,fc_cyl_56d_mpa,fc_cyl_90d_mpa,fc_cyl_180d_mpa
[52],9,154,Kou et al.,2011,SF10-III,351,,,39,,,,,,,1078,664,100%,195,,,195,0.5,0.36,0.59,2.62,20,Crushed granite,,,,1.11,2.62,10,Crushed granite,,,,1.12,2.57,20,C&D waste,,,,3.52,2.57,10,C&D waste,,,,4.26,,,,,,,,,,,,,,,3.064924012,3.37306317,1.732899023,100,10.6141,24.4977,34.7073,,,54.5469,,55.8979,,,,,,,,,,,,
[52],9,155,Kou et al.,2011,MK15-III,331.5,,,,58.5,,,,,,1078,669,100%,195,,,195,0.5,0.36,0.58,2.62,20,Crushed granite,,,,1.11,2.62,10,Crushed granite,,,,1.12,2.57,20,C&D waste,,,,3.52,2.57,10,C&D waste,,,,4.26,,,,,,,,,,,,,,,3.018023183,1.77562384,3.936206312,100,12.247,23.4776,34.7079,,,53.3224,,54.8778,,,,,,,,,,,,
[52],9,156,Kou et al.,2011,FA35-III,253.5,136.5,,,,,,,,,1078,640,100%,195,,,195,0.5,0.36,0.61,2.62,20,Crushed granite,,,,1.11,2.62,10,Crushed granite,,,,1.12,2.57,20,C&D waste,,,,3.52,2.57,10,C&D waste,,,,4.26,,,,,,,,,,,,,,,2.43755377,1.885948135,3.36942362,100,5.71642,14.4977,18.5855,,,36.7921,,50.9999,,,,,,,,,,,,
[52],9,157,Kou et al.,2011,GGBS55-III,175.5,,214.5,,,,,,,,1078,658,100%,195,,,195,0.5,0.36,0.59,2.62,20,Crushed granite,,,,1.11,2.62,20,Crushed granite,,,,1.12,2.57,20,C&D waste,,,,3.52,2.57,10,C&D waste,,,,4.26,,,,,,,,,,,,,,,2.172165279,2.83284702,4.92345679,100,4.89979,15.5181,20.0141,,,38.4245,,51.204,,,,,,,,,,,,
[53],10,158,Corinaldesi,2012,Ref,330,,,,,,,,,1120,,740,0%,165,,2.6,167,0.5,0.29,0.45,2.63,22,Gravel,,,,3,,,,,,,,2.3,15,C&D waste,,,,8.8,,,,,,,,2.6,5,Quartz sand,,,,3.5,,,,,,,,2.161779575,5.355595668,2.077777778,100,,,42.5272,,,43.8137,,44.1098,,,,,,,,,,,,
[53],10,159,Corinaldesi,2012,Ref+FA,330,66,,,,,,,,1120,,665,100%,165,,3.2,167,0.42,0.35,0.6,2.63,22,Gravel,,,,3,,,,,,,,2.3,15,C&D waste,,,,8.8,,,,,,,,2.6,5,Quartz sand,,,,3.5,,,,,,,,1.877948334,3.770637219,3.040965618,100,,,46.0458,,,51.0369,,55.4061,,,,,,,,,,,,
[53],10,160,Corinaldesi,2012,Rec-10%,330,,,,,,,,,900,165,740,10%,165,,2.6,167,0.5,0.31,0.45,2.63,22,Gravel,,,,3,,,,,,,,2.3,15,C&D waste,,,,8.8,,,,,,,,2.6,5,Quartz sand,,,,3.5,,,,,,,,2.161779575,5.355595668,2.077777778,100,,,43.268,,,45.6665,,48.9246,,,,,,,,,,,,
[53],10,161,Corinaldesi,2012,Rec-20%,330,,,,,,,,,747,330,740,20%,165,,2.6,167,0.5,0.31,0.45,2.63,22,Gravel,,,,3,,,,,,,,2.3,15,C&D waste,,,,8.8,,,,,,,,2.6,5,Quartz sand,,,,3.5,,,,,,,,2.161779575,5.355595668,2.077777778,100,,,32.8976,,,37.5184,,41.8876,,,,,,,,,,,,
[53],10,162,Corinaldesi,2012,Rec-30%,330,,,,,,,,,560,490,740,30%,165,,2.6,167,0.5,0.31,0.45,2.63,22,Gravel,,,,3,,,,,,,,2.3,15,C&D waste,,,,8.8,,,,,,,,2.6,5,Quartz sand,,,,3.5,,,,,,,,2.161779575,5.355595668,2.077777778,100,,,37.5272,,,38.4433,,40.4061,,,,,,,,,,,,
[53],10,163,Corinaldesi,2012,Rec-30%+FA,330,66,,,,,,,,560,490,665,30%,165,,3.2,167,0.42,0.38,0.6,2.63,22,Gravel,,,,3,,,,,,,,2.3,15,C&D waste,,,,8.8,,,,,,,,2.6,5,Quartz sand,,,,3.5,,,,,,,,1.877948334,3.770637219,3.040965618,100,,,37.7124,,,42.5184,,46.332,,,,,,,,,,,,
[54],11,164,Corral et al.,2012,NA100%PC,444.44,,,,,,,,,994.55,,766.17,0%,213.31,,,213,0.48,0.45,0.58,2.5,19,Crushcd rock,,,,0.44,,,,,,,,2.19,19,C&D waste,,,,6.55,,,,,,,,2.43,4.76,River sand,,,,4.08,,,,,,,,3.410230692,2.705563094,1.481481481,,,,,,,,,,,150,300,,,,,,29.25,,33.16,35.35
[54],11,165,Corral et al.,2012,RA100%PC,444.44,,,,,,,,,,870.58,915.35,100%,213.31,,,213,0.48,0.51,0.49,2.5,19,Crushcd rock,,,,0.44,,,,,,,,2.19,19,C&D waste,,,,6.55,,,,,,,,2.43,4.76,River sand,,,,4.08,,,,,,,,3.410230692,2.705563094,1.481481481,,,,,,,,,,,150,300,,,,,,25.57,,28.35,31.83
[54],11,166,Corral et al.,2012,RA30%FA,311.11,133.33,,,,,,,,,870.58,915.35,100%,213.31,,,213,0.48,0.51,0.49,2.5,19,Crushcd rock,,,,0.44,,,,,,,,2.19,19,C&D waste,,,,6.55,,,,,,,,2.43,4.76,River sand,,,,4.08,,,,,,,,2.51887098,2.814530136,2.582440495,,,,,,,,,,,150,300,,,,,,17.39,,21.26,27.06
[54],11,167,Corral et al.,2012,RA10%SF,400,,,44.44,,,,,,,870.58,915.35,100%,213.31,,,213,0.48,0.51,0.49,2.5,19,Crushcd rock,,,,0.44,,,,,,,,2.19,19,C&D waste,,,,6.55,,,,,,,,2.43,4.76,River sand,,,,4.08,,,,,,,,3.069847376,3.993478575,1.363584714,,,,,,,,,,,150,300,,,,,,37.08,,40.82,42.97
[55],12,168,Limbachiya et al. ,2012,GEN 30-0,275,,,,,,,,,1260,0,625,0%,180,,,180,0.65,0.22,0.44,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,16.5688,20.0606,,,23.0891,25.6546,28.5905,30.5105,100,200,,,,,,21,,,
[55],12,169,Limbachiya et al. ,2012,GEN 30-30,275,,,,,,,,,882,378,625,30%,180,,,180,0.65,0.22,0.44,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,16.5632,19.5917,,,22.0656,25.0018,27.7532,29.8574,100,200,,,,,,20,,,
[55],12,170,Limbachiya et al. ,2012,GEN 30-50,295,,,,,,,,,635,635,595,50%,180,,,180,0.61,0.23,0.5,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,15.632,18.8463,,,22.5243,25.4605,28.3961,30.4073,100,200,,,,,,19,,,
[55],12,171,Limbachiya et al. ,2012,GEN 30-100,310,,,,,,,,,0,1240,610,100%,180,,,180,0.58,0.25,0.51,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,18.4974,20.4158,,,22.4254,24.5289,26.3551,27.4384,100,200,,,,,,18,,,
[55],12,172,Limbachiya et al. ,2012,RC30-PC-0,330,,,,,,,,,1245,0,585,0%,180,,,180,0.55,0.27,0.56,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,30.9356,34.9272,37.5468,41.0395,100,200,,,,,,21,,,
[55],12,173,Limbachiya et al. ,2012,RC30-PC-30,330,,,,,,,,,872,373,585,30%,180,,,180,0.55,0.27,0.56,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,32.6819,36.6736,39.1684,42.9106,100,200,,,,,,23,,,
[55],12,174,Limbachiya et al. ,2012,RC30-PC-50,355,,,,,,,,,623,623,560,50%,180,,,180,0.51,0.28,0.63,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,33.9293,37.921,40.9148,44.5322,100,200,,,,,,24,,,
[55],12,175,Limbachiya et al. ,2012,RC30-PC-100,372,,,,,,,,,0,1252,536,100%,180,,,180,0.48,0.3,0.69,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,26.6944,30.3119,32.3077,35.8004,100,200,,,,,,21,,,
[55],12,176,Limbachiya et al. ,2012,RC30-PC/SF-0,261,,,29,,,,,,1234,0,636,0%,180,,,180,0.62,0.24,0.46,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.983515284,4.2742891,1.731391586,100,,,,,,37.1726,43.659,47.1518,52.0166,100,200,,,,,,29,,,
[55],12,177,Limbachiya et al. ,2012,RC30-PC/SF-30,261,,,29,,,,,,864,370,636,30%,180,,,180,0.62,0.24,0.46,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.983515284,4.2742891,1.731391586,100,,,,,,37.6715,41.9127,47.1518,50.894,100,200,,,,,,31,,,
[55],12,178,Limbachiya et al. ,2012,RC30-PC/SF-50,279,,,31,,,,,,629,629,592,50%,180,,,180,0.58,0.25,0.52,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.983515284,4.2742891,1.731391586,100,,,,,,36.4241,40.4158,42.4116,44.158,100,200,,,,,,28,,,
[55],12,179,Limbachiya et al. ,2012,RC30-PC/SF-100,318,,,35,,,,,,0,1247,560,100%,180,,,180,0.51,0.28,0.63,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.986316152,4.261423661,1.731478301,100,,,,,,36.6736,41.4137,43.4096,45.6549,100,200,,,,,,28.5,,,
[55],12,180,Limbachiya et al. ,2012,RC35-PC-0,355,,,,,,,,,1245,0,560,0%,180,,,180,0.51,0.29,0.63,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,37.6674,41.709,43.9723,48.9838,100,200,,,,,,31,,,
[55],12,181,Limbachiya et al. ,2012,RC35-PC-30,355,,,,,,,,,872,373,560,30%,180,,,180,0.51,0.29,0.63,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,31.6859,34.5958,36.5358,40.0924,100,200,,,,,,25,,,
[55],12,182,Limbachiya et al. ,2012,RC35-PC-50,385,,,,,,,,,613,613,550,50%,180,,,180,0.47,0.31,0.7,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,39.7691,44.9423,48.0139,52.8637,100,200,,,,,,29,,,
[55],12,183,Limbachiya et al. ,2012,RC35-PC-100,409,,,,,,,,,0,1226,525,100%,180,,,180,0.44,0.33,0.78,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,,,,,100,200,,,,,,30,,,
[55],12,184,Limbachiya et al. ,2012,RC35-PC/SF-0,279,,,31,,,,,,1258,0,592,0%,180,,,180,0.58,0.25,0.52,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.983515284,4.2742891,1.731391586,100,,,,,,44.7806,50.7621,52.5404,54.8037,100,200,,,,,,39,,,
[55],12,185,Limbachiya et al. ,2012,RC35-PC/SF-30,279,,,31,,,,,,881,377,592,30%,180,,,180,0.58,0.25,0.52,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.983515284,4.2742891,1.731391586,100,,,,,,43.649,45.7506,46.8822,47.6905,100,200,,,,,,35,,,
[55],12,186,Limbachiya et al. ,2012,RC35-PC/SF-50,300,,,33,,,,,,626,626,575,50%,180,,,180,0.54,0.27,0.58,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.986484373,4.260651629,1.731483504,100,,,,,,40.739,46.2356,46.8822,50.6005,100,200,,,,,,31,,,
[55],12,187,Limbachiya et al. ,2012,RC35-PC/SF-100,338,,,37,,,,,,0,1241,544,100%,180,,,180,0.48,0.3,0.69,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,2.987909535,4.254114009,1.731527571,100,,,,,,40.4157,48.1755,47.6905,49.1455,100,200,,,,,,29,,,
[55],12,188,Limbachiya et al. ,2012,RC40-PC-0,375,,,,,,,,,1241,0,544,0%,180,,,180,0.48,0.3,0.69,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,,,,,100,200,,,,,,33,,,
[55],12,189,Limbachiya et al. ,2012,RC40-PC-30,375,,,,,,,,,869,372,544,30%,180,,,180,0.48,0.3,0.69,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,,,,,100,200,,,,,,39,,,
[55],12,190,Limbachiya et al. ,2012,RC40-PC-50,405,,,,,,,,,624,624,508,50%,180,,,180,0.44,0.32,0.8,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,,,,,100,200,,,,,,31,,,
[55],12,191,Limbachiya et al. ,2012,RC40-PC-100,426,,,,,,,,,0,1241,494,100%,180,,,180,0.42,0.34,0.86,2.54,20,Siliceous gravel,,,7.1,1.4,,,,,,,,2.43,20,C&D waste,,,6.7,5.3,,,,,,,,2.46,,River sand,,,2.4,0.77,,,,,,,,3.313084112,2.891891892,1.740740741,100,,,,,,,,,,100,200,,,,,,34,,,
[56],13,192,Limbachiya et al. ,2012,PC20-0,275,,,,,,,,,1260,0,625,0%,180,,,180,0.65,0.22,0.44,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,16.4583,20.1042,23.2292,,25.625,28.6458,30.7292,33.3333,,,,,,,,,,,
[56],13,193,Limbachiya et al. ,2012,PC20-30,275,,,,,,,,,882,378,625,30%,180,,,180,0.65,0.22,0.44,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,16.3542,19.5833,22.0833,,25.2083,28.2292,30.1042,33.2292,,,,,,,,,,,
[56],13,194,Limbachiya et al. ,2012,PC20-50,295,,,,,,,,,635,635,595,50%,180,,,180,0.61,0.23,0.5,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,15.625,19.1667,22.7083,,25.7292,28.6458,30.7292,33.6458,,,,,,,,,,,
[56],13,195,Limbachiya et al. ,2012,PC20-100,310,,,,,,,,,0,1240,610,100%,180,,,180,0.58,0.25,0.51,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,18.5417,20.625,22.6042,,24.7917,26.6667,27.7083,29.7917,,,,,,,,,,,
[56],13,196,Limbachiya et al. ,2012,PCFA20-0,215,90,,,,,,,,1311,0,589,0%,160,,,160,0.52,0.23,0.52,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.698450393,1.856736436,2.539014743,100,,10.3077,17.5385,23.5385,,29.8462,35.6923,39.8462,46,,,,,,,,,,,
[56],13,197,Limbachiya et al. ,2012,PCFA20-30,215,90,,,,,,,,918,393,589,30%,160,,,160,0.52,0.23,0.52,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.698450393,1.856736436,2.539014743,100,,12.3077,19.0769,24.1538,,29.6923,35.0769,38.6154,43.6923,,,,,,,,,,,
[56],13,198,Limbachiya et al. ,2012,PCFA20-50,230,100,,,,,,,,657,657,562,50%,160,,,160,0.48,0.25,0.59,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.681894602,1.844131803,2.551610782,100,,14,19.5385,24.1538,,28.7692,33.3846,36.4615,41.0769,,,,,,,,,,,
[56],13,199,Limbachiya et al. ,2012,PCFA20-100,245,105,,,,,,,,0,1280,575,100%,160,,,160,0.46,0.27,0.61,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.688206498,1.848894349,2.546840959,100,,14.9231,20,24.4615,,28.7692,33.2308,36.3077,40.3077,,,,,,,,,,,
[56],13,200,Limbachiya et al. ,2012,PC30-0,330,,,,,,,,,1245,0,585,0%,180,,,180,0.55,0.27,0.56,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,19.0114,23.909,27.4405,,31.3212,35.7001,38.384,41.7408,,,,,,,,,,,
[56],13,201,Limbachiya et al. ,2012,PC30-30,330,,,,,,,,,872,373,585,30%,180,,,180,0.55,0.27,0.56,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,19.5482,24.4407,28.6526,,33.0367,37.0817,39.7709,43.9777,,,,,,,,,,,
[56],13,202,Limbachiya et al. ,2012,PC30-50,355,,,,,,,,,623,623,560,50%,180,,,180,0.51,0.28,0.63,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,21.1045,26.5029,30.0446,,34.4287,38.4608,41.661,45.3671,,,,,,,,,,,
[56],13,203,Limbachiya et al. ,2012,PC30-100,372,,,,,,,,,0,1252,536,100%,180,,,180,0.48,0.3,0.69,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,16.5643,20.9509,24.1459,,27.1637,31.0393,33.2173,36.9183,,,,,,,,,,,
[56],13,204,Limbachiya et al. ,2012,PCFA30-0,260,110,,,,,,,,1285,0,550,0%,160,,,160,0.43,0.29,0.67,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.693836026,1.85318652,2.542553191,100,,14.6056,23.1272,30.566,,37.4623,44.5416,49.4588,56.7201,,,,,,,,,,,
[56],13,205,Limbachiya et al. ,2012,PCFA30-30,260,110,,,,,,,,900,386,550,30%,160,,,160,0.43,0.29,0.67,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.693836026,1.85318652,2.542553191,100,,16.7778,23.8562,29.3121,,34.9517,40.5887,44.6049,50.0617,,,,,,,,,,,
[56],13,206,Limbachiya et al. ,2012,PCFA30-50,280,120,,,,,,,,641,641,523,50%,160,,,160,0.4,0.31,0.76,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.688206498,1.848894349,2.546840959,100,,18.5907,24.7654,29.8627,,35.1402,40.4195,44.0735,49.169,,,,,,,,,,,
[56],13,207,Limbachiya et al. ,2012,PCFA30-100,295,126,,,,,,,,0,1267,517,100%,160,,,160,0.38,0.33,0.81,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.689690767,1.850021914,2.545713546,100,,21.3034,27.4782,32.3971,,37.3106,42.2305,45.5232,50.4404,,,,,,,,,,,
[56],13,208,Limbachiya et al. ,2012,PC35-0,355,,,,,,,,,1245,0,560,0%,180,,,180,0.51,0.29,0.63,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,24.1015,29.2923,34.0765,,38.2439,42.6168,44.9474,49.523,,,,,,,,,,,
[56],13,209,Limbachiya et al. ,2012,PC35-30,355,,,,,,,,,872,373,560,30%,180,,,180,0.51,0.29,0.63,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,21.6679,25.8352,28.9883,,32.1367,35.4893,37.4102,40.9714,,,,,,,,,,,
[56],13,210,Limbachiya et al. ,2012,PC35-50,385,,,,,,,,,613,613,550,50%,180,,,180,0.47,0.31,0.7,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,24.5418,30.7531,35.9439,,40.7219,45.9112,48.6515,54.0449,,,,,,,,,,,
[56],13,211,Limbachiya et al. ,2012,PC35-100,409,,,,,,,,,0,1226,525,100%,180,,,180,0.44,0.33,0.78,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,3.313084112,2.891891892,1.740740741,100,,25.3765,32.8092,39.0189,,45.2286,51.4383,55.4046,61.6097,,,,,,,,,,,
[56],13,212,Limbachiya et al. ,2012,PCFA35-0,280,120,,,,,,,,1282,0,523,0%,160,,,160,0.4,0.31,0.76,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.688206498,1.848894349,2.546840959,100,,17.8529,25.8627,32.2427,,38.8056,45.1897,49.772,56.5192,,,,,,,,,,,
[56],13,213,Limbachiya et al. ,2012,PCFA35-30,280,120,,,,,,,,898,384,523,30%,160,,,160,0.4,0.31,0.76,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.688206498,1.848894349,2.546840959,100,,24.8949,31.4606,37.3028,,43.145,48.8084,52.4911,58.1504,,,,,,,,,,,
[56],13,214,Limbachiya et al. ,2012,PCFA35-50,300,130,,,,,,,,631,631,514,50%,160,,,160,0.37,0.34,0.84,2.6,20,Natural gravel,,,,0.81,,,,,,,,2.43,20,C&D waste,23.4,,,5.3,,,,,,,,2.68,,River sand,,,2.6,0.81,,,,,,,,2.683362485,1.845234708,2.550505051,100,,20.404,27.6931,33.7128,,39.7366,45.7617,49.8021,55.8258,,,,,,,,,,,
