item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
735,58502,B,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,294,fly_ash_bituminous_coal,126,,0,200,0.6,SP,0.7938,,0,34.241
736,58502,C,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,291,fly_ash_bituminous_coal,124,,0,200,0.61,SP,1.1058,,0,36.181
737,58502,D,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,293,fly_ash_bituminous_coal,125,,0,200,0.6,SP,1.2892,,0,39.77
738,5071,A,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,,0,,0,42.292
739,5071,B,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,,0,,0,44.688
740,5071,C,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,154.8,0.57,,0,,0,42.467
741,5071,D,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,154.8,0.57,,0,,0,43.175
742,5071,E,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,154.8,0.57,,0,,0,43.514
743,5071,F,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,165.6,0.61,,0,,0,41.875
744,5071,G,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,accelerator,1.301999999,,0,48.84
745,5071,H,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,,0,,0,43.126
746,5071,I (1),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,accelerator,1.301999999,,0,39.586
747,5071,I (2),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,172.8,0.64,,0,,0,40.177
748,5071,J,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,154.8,0.57,,0,,0,43.883
749,5071,K,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,,0,,0,47.064
750,5071,M (1),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,165.6,0.61,accelerator,1.301999999,,0,43.834
751,5071,M (2),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,169.2,0.63,,0,,0,39.256
752,5071,N,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,165.6,0.61,,0,,0,41.778
753,5071,P (1),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,accelerator,1.301999999,,0,48.519
754,5071,P (2),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,169.2,0.63,,0,,0,40.682
755,5071,Q (1),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,151.2,0.56,accelerator,1.301999999,,0,49.868
756,5071,Q (2),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,162,0.6,,0,,0,43.708
757,5071,R (1),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,accelerator,1.301999999,,0,47.026
758,5071,R (2),CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,162,0.6,,0,,0,50.789
759,5071,S,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,180,0.67,,0,,0,38.461
760,5071,T,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,158.4,0.59,,0,,0,36.443
761,5071,U,CEM I with fly_ash_bituminous_coal,CEM I,,1,239,fly_ash_bituminous_coal,121,,0,183.6,0.68,,0,,0,35.919
762,35768,OPC,CEM I,CEM I,52.5N,1,350,,0,,0,175,0.5,,0,,0,41
763,35768,15/May,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,297.5,fly_ash_bituminous_coal,52.5,,0,175,0.55,,0,,0,42.75
764,35768,15/Jul,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,297.5,fly_ash_bituminous_coal,52.5,,0,175,0.55,,0,,0,56.625
765,35768,15/Dec,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,297.5,fly_ash_bituminous_coal,52.5,,0,175,0.55,,0,,0,42
766,35768,30/May,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,245,fly_ash_bituminous_coal,105,,0,175,0.63,,0,,0,35.5
767,35768,30/Jul,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,245,fly_ash_bituminous_coal,105,,0,175,0.63,,0,,0,39.5
768,35768,30/Dec,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,245,fly_ash_bituminous_coal,105,,0,175,0.63,,0,,0,29.25
769,5151,Control (withtel),CEM I,CEM I,32.5R,1,296,,0,,0,148,0.5,air_entrainer,0.2368,,0,37
770,5151,F1,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,236,fly_ash_bituminous_coal,59,,0,147.5,0.57,air_entrainer,0.4248,,0,32.125
771,5151,F2,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,237,fly_ash_bituminous_coal,59,,0,148,0.57,air_entrainer,0.2607,,0,31.5
772,5151,F3,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,237,fly_ash_bituminous_coal,59,,0,148,0.57,air_entrainer,0.2607,,0,26.25
773,5151,F4,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,238,fly_ash_bituminous_coal,59,,0,148.5,0.57,air_entrainer,0.2142,,0,29.125
774,5151,F5,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,237,fly_ash_bituminous_coal,59,,0,148,0.57,air_entrainer,0.9006,,0,35
775,5151,F6,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,238,fly_ash_bituminous_coal,59,,0,148.5,0.57,air_entrainer,0.8568,,0,31
776,5151,F7,CEM I with FA,CEM I,32.5R,1,239,FA,59,,0,149,0.57,air_entrainer,0.478,,0,30.125
777,5151,F8,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,236,fly_ash_bituminous_coal,59,,0,147.5,0.57,air_entrainer,0.3068,,0,33.875
778,5151,F9,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,236,fly_ash_bituminous_coal,59,,0,147.5,0.57,air_entrainer,0.3068,,0,31.125
779,5151,F10,CEM I with FA,CEM I,32.5R,1,237,FA,59,,0,148,0.57,air_entrainer,0.3792,,0,35.625
780,5151,F11,CEM I with FA,CEM I,32.5R,1,237,FA,59,,0,148,0.57,air_entrainer,0.1896,,0,36.75
781,85883,MOW,CEM I,CEM I,,1,400,,0,,0,136,0.34,SP,7.2,,0,60.78
782,85883,M1,CEM I with fly_ash_bituminous_coal,CEM I,,1,120,fly_ash_bituminous_coal,280,,0,112,0.82,SP,7.32,,0,41.807
783,85883,M3,CEM I with fly_ash_bituminous_coal,CEM I,,1,200,fly_ash_bituminous_coal,200,,0,132,0.58,SP,7.2,,0,61.595
784,85883,M5,CEM I with fly_ash_bituminous_coal,CEM I,,1,120,fly_ash_bituminous_coal,280,,0,172,1.27,SP,7.32,,0,18.76
785,85883,M7,CEM I with fly_ash_bituminous_coal,CEM I,,1,200,fly_ash_bituminous_coal,200,,0,172,0.76,SP,7.2,,0,39.916
786,15923,OPC,CEM I,CEM I,,1,300,,0,,0,195,0.65,,0,,0,36.5
787,15923,P25E,CEM I with fly_ash_bituminous_coal,CEM I,,1,300,fly_ash_bituminous_coal,130,,0,195,0.57,,0,,0,46.5
788,15923,P31P/E,CEM I with fly_ash_bituminous_coal,CEM I,,1,300,fly_ash_bituminous_coal,130,,0,195,0.57,,0,,0,47.5
789,15923,P23E,CEM I with fly_ash_bituminous_coal,CEM I,,1,300,fly_ash_bituminous_coal,130,,0,195,0.57,,0,,0,44.5
790,15923,P21E,CEM I with fly_ash_bituminous_coal,CEM I,,1,300,fly_ash_bituminous_coal,130,,0,195,0.57,,0,,0,45.5
791,13917,1,CEM I,CEM I,32.5R,1,240,,0,,0,180,0.75,,0,,0,24.51
792,13917,2,CEM I,CEM I,32.5R,1,300,,0,,0,190,0.63,,0,,0,34.865
793,13917,3,CEM I,CEM I,32.5R,1,360,,0,,0,200,0.56,,0,,0,42.655
794,13917,4,CEM I,CEM I,32.5R,1,420,,0,,0,205,0.49,,0,,0,47.31
795,13917,5,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,60,,0,175,0.66,,0,,0,34.01
796,13917,6,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,120,,0,175,0.64,,0,,0,35.72
797,13917,7,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,180,,0,180,0.66,,0,,0,37.62
798,13917,8,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,300,fly_ash_bituminous_coal,60,,0,180,0.56,,0,,0,45.03
799,13917,9,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,300,fly_ash_bituminous_coal,120,,0,180,0.53,,0,,0,48.83
800,13917,10,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,360,fly_ash_bituminous_coal,60,,0,190,0.49,,0,,0,48.07
801,13917,11,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,60,,0,180,0.68,,0,,0,31.92
802,13917,12,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,120,,0,185,0.68,,0,,0,32.87
803,13917,13,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,180,,0,190,0.7,,0,,0,32.49
804,13917,14,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,300,fly_ash_bituminous_coal,60,,0,190,0.59,,0,,0,40.09
805,13917,15,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,300,fly_ash_bituminous_coal,120,,0,190,0.56,,0,,0,39.235
806,13917,16,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,360,fly_ash_bituminous_coal,60,,0,200,0.52,,0,,0,44.65
807,13917,17,CEM I,CEM I,42.5R,1,300,,0,,0,190,0.63,,0,,0,42.465
808,13917,18,CEM I,CEM I,42.5R,1,360,,0,,0,195,0.54,,0,,0,49.97
809,13917,19,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,300,fly_ash_bituminous_coal,60,,0,185,0.57,,0,,0,48.83
810,13917,20,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,300,fly_ash_bituminous_coal,120,,0,190,0.56,,0,,0,50.635
811,13917,21,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,300,fly_ash_bituminous_coal,60,,0,195,0.6,,0,,0,44.745
812,13917,22,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,300,fly_ash_bituminous_coal,120,,0,195,0.57,,0,,0,49.4
813,13917,23,CEM III/A,CEM III/A,32.5N,0.6,300,,0,,0,190,0.63,,0,,0,32.11
814,13917,24,CEM III/A,CEM III/A,32.5N,0.6,360,,0,,0,200,0.56,,0,,0,39.9
815,13917,25,CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5N,0.6,300,fly_ash_bituminous_coal,60,,0,180,0.56,,0,,0,33.915
816,13917,26,CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5N,0.6,300,fly_ash_bituminous_coal,120,,0,180,0.53,,0,,0,43.13
817,13917,27,CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5N,0.6,300,fly_ash_bituminous_coal,60,,0,190,0.59,,0,,0,32.11
818,13917,28,CEM III/A with fly_ash_bituminous_coal,CEM III/A,32.5N,0.6,300,fly_ash_bituminous_coal,120,,0,190,0.56,,0,,0,40.28
819,5134,RC00,CEM I,CEM I,32.5R,1,314,,0,,0,157,0.5,,0,,0,28.979
820,5134,1C34,CEM II/BS,CEM II/BS,32.5N,0.66,314,,0,,0,157,0.5,,0,,0,27.888
821,5134,1C50,CEM III/A,CEM III/A,22.5N,0.5,314,,0,,0,157,0.5,,0,,0,24.856
