item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
884,40965,4,CEM I with GGBFS,CEM I,32.5R,1,264,GGBFS,455,,0,210,0.29,air_entrainer,0.67056,,0,56.745
885,40965,5,CEM I,CEM I,32.5R,1,437,,0,,0,164,0.38,air_entrainer,0.17917,,0,58.079
886,40965,6,CEM I,CEM I,32.5R,1,428,,0,,0,161,0.38,air_entrainer,0.23968,accelerator,5.564,53.956
887,40965,7,CEM I with GGBFS,CEM I,32.5R,1,328,GGBFS,110,,0,164,0.37,air_entrainer,0.23944,,0,52.501
888,40965,8,CEM I with GGBFS,CEM I,32.5R,1,320,GGBFS,107,,0,161,0.38,air_entrainer,0.32,accelerator,5.12,49.228
889,40965,9,CEM I with GGBFS,CEM I,32.5R,1,246,GGBFS,200,,0,168,0.38,air_entrainer,0.369,,0,48.379
890,40965,10,CEM I with GGBFS,CEM I,32.5R,1,241,GGBFS,196,,0,164,0.38,air_entrainer,0.36873,accelerator,4.82,44.378
891,40965,11,CEM I with GGBFS,CEM I,32.5R,1,162,GGBFS,300,,0,174,0.38,air_entrainer,0.56214,,0,42.559
892,40965,12,CEM I with GGBFS,CEM I,32.5R,1,157,GGBFS,291,,0,168,0.38,air_entrainer,0.51339,accelerator,4.553,38.558
893,40965,13,CEM I,CEM I,32.5R,1,347,,0,,0,161,0.46,air_entrainer,0.15268,,0,44.499
894,40965,14,CEM I,CEM I,32.5R,1,338,,0,,0,157,0.46,air_entrainer,0.14534,accelerator,4.056,43.529
895,40965,15,CEM I with GGBFS,CEM I,32.5R,1,255,GGBFS,85,,0,157,0.46,air_entrainer,0.17595,,0,43.529
896,40965,16,CEM I with GGBFS,CEM I,32.5R,1,257,GGBFS,86,,0,160,0.47,air_entrainer,0.17733,accelerator,4.112,45.833
897,40965,17,CEM I with GGBFS,CEM I,32.5R,1,196,GGBFS,160,,0,165,0.46,air_entrainer,0.24108,,0,41.225
898,40965,18,CEM I with GGBFS,CEM I,32.5R,1,192,GGBFS,159,,0,164,0.47,air_entrainer,0.20928,accelerator,3.84,44.135
899,40965,19,CEM I with GGBFS,CEM I,32.5R,1,121,GGBFS,225,,0,161,0.47,air_entrainer,0.24079,,0,35.89
900,40965,20,CEM I with GGBFS,CEM I,32.5R,1,122,GGBFS,227,,0,164,0.47,air_entrainer,0.20862,accelerator,4.148,35.526
901,40965,21,CEM I,CEM I,32.5R,1,273,,0,,0,152,0.56,air_entrainer,0.09555,,0,35.284
902,40965,22,CEM I,CEM I,32.5R,1,287,,0,,0,160,0.56,air_entrainer,0.08897,,0,34.435
903,40965,23,CEM I with GGBFS,CEM I,32.5R,1,209,GGBFS,70,,0,155,0.56,air_entrainer,0.12749,,0,32.738
904,40965,24,CEM I with GGBFS,CEM I,32.5R,1,218,GGBFS,73,,0,162,0.56,air_entrainer,0.11118,,0,34.799
905,40965,25,CEM I with GGBFS,CEM I,32.5R,1,154,GGBFS,126,,0,155,0.55,air_entrainer,0.12782,,0,32.859
906,40965,26,CEM I with GGBFS,CEM I,32.5R,1,152,GGBFS,125,,0,154,0.56,air_entrainer,0.12768,,0,31.768
907,40965,27,CEM I with GGBFS,CEM I,32.5R,1,102,GGBFS,189,,0,162,0.56,air_entrainer,0.15402,,0,31.768
908,40965,28,CEM I with GGBFS,CEM I,32.5R,1,101,GGBFS,187,,0,161,0.56,air_entrainer,0.09595,,0,28.736
909,40965,29,CEM I,CEM I,32.5R,1,234,,0,,0,152,0.65,air_entrainer,0.11466,,0,31.161
910,40965,30,CEM I with GGBFS,CEM I,32.5R,1,176,GGBFS,59,,0,152,0.65,air_entrainer,0.12496,,0,28.979
911,40965,31,CEM I with GGBFS,CEM I,32.5R,1,129,GGBFS,105,,0,152,0.65,air_entrainer,0.10449,,0,25.826
912,40965,32,CEM I with GGBFS,CEM I,32.5R,1,83,GGBFS,153,,0,153,0.65,air_entrainer,0.17513,,0,24.371
913,40964,0.76,CEM I,CEM I,32.5R,1,254,,0,,0,193,0.76,,0,,0,24.129
914,40964,0.763,CEM I with GGBFS,CEM I,32.5R,1,177.8,GGBFS,76.2,,0,193,0.76,,0,,0,28.979
915,40964,0.764,CEM I with GGBFS,CEM I,32.5R,1,152.4,GGBFS,101.6,,0,193,0.76,,0,,0,31.161
916,40964,0.765,CEM I with GGBFS,CEM I,32.5R,1,127,GGBFS,127,,0,193,0.76,,0,,0,29.828
917,40964,0.63,CEM I,CEM I,32.5R,1,306,,0,,0,193,0.63,,0,,0,36.496
918,40964,0.633,CEM I with GGBFS,CEM I,32.5R,1,214.2,GGBFS,91.8,,0,193,0.63,,0,,0,40.861
919,40964,0.634,CEM I with GGBFS,CEM I,32.5R,1,183.6,GGBFS,122.4,,0,193,0.63,,0,,0,39.77
920,40964,0.635,CEM I with GGBFS,CEM I,32.5R,1,153,GGBFS,153,,0,193,0.63,,0,,0,40.134
921,40964,0.55,CEM I,CEM I,32.5R,1,351,,0,,0,193,0.55,,0,,0,44.135
922,40964,0.553,CEM I with GGBFS,CEM I,32.5R,1,245.7,GGBFS,105.3,,0,193,0.55,,0,,0,49.834
923,40964,0.554,CEM I with GGBFS,CEM I,32.5R,1,210.6,GGBFS,140.4,,0,193,0.55,,0,,0,49.591
924,40964,0.555,CEM I with GGBFS,CEM I,32.5R,1,175.5,GGBFS,175.5,,0,193,0.55,,0,,0,51.41
925,40964,0.44,CEM I,CEM I,32.5R,1,439,,0,,0,193,0.44,,0,,0,50.44
926,40964,0.443,CEM I with GGBFS,CEM I,32.5R,1,307.3,GGBFS,131.7,,0,193,0.44,,0,,0,56.988
927,40964,0.444,CEM I with GGBFS,CEM I,32.5R,1,263.4,GGBFS,175.6,,0,193,0.44,,0,,0,56.018
928,40964,0.445,CEM I with GGBFS,CEM I,32.5R,1,219.5,GGBFS,219.5,,0,193,0.44,,0,,0,53.956
929,35837,OPC,CEM I,CEM I,42.5R,1,437,,0,,0,187.9,0.43,,0,,0,60.14
930,35837,UK 30,CEM I with GGBFS,CEM I,,1,305.9,GGBFS,131.1,,0,187.9,0.43,,0,,0,60.625
931,35837,UK 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,65.475
932,35837,UK 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,60.625
933,35837,Bel 30,CEM I with GGBFS,CEM I,,1,305.9,GGBFS,131.1,,0,187.9,0.43,,0,,0,62.08
934,35837,Bel 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,60.625
935,35837,Bel 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,53.35
936,35837,S. A. 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,61.11
937,35837,S. A. 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,52.38
938,35837,Jap 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,61.692
939,35837,Jap 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,54.32
940,35837,OPC,CEM I,CEM I,,1,437,,0,,0,187.9,0.43,,0,,0,62.201
941,35837,UK 30,CEM I with GGBFS,CEM I,,1,305.9,GGBFS,131.1,,0,187.9,0.43,,0,,0,62.662
942,35837,UK 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,63.123
943,35837,UK 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,57.594
944,35837,Bel 30,CEM I with GGBFS,CEM I,,1,305.9,GGBFS,131.1,,0,187.9,0.43,,0,,0,65.427
945,35837,Bel 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,64.044
946,35837,Bel 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,54.369
947,35837,S. A. 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,63.123
948,35837,S. A. 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,52.986
949,35837,Jap 50,CEM I with GGBFS,CEM I,,1,218.5,GGBFS,218.5,,0,187.9,0.43,,0,,0,63.123
950,35837,Jap 70,CEM I with GGBFS,CEM I,,1,131.1,GGBFS,305.9,,0,187.9,0.43,,0,,0,53.447
951,M1803,2a,CEM II/BS with fly_ash_bituminous_coal,CEM II/BS,42.5N,0.797,170.8658718,fly_ash_bituminous_coal,291.5,,0,180.9168054,0.94,,0,,0,33.635
952,M1803,2b,CEM II/BS with fly_ash_bituminous_coal,CEM II/BS,42.5N,0.797,142.5325151,fly_ash_bituminous_coal,244.3,,0,183.2560909,1.14,,0,,0,21.476
953,M1803,2c,CEM II/BS with fly_ash_bituminous_coal,CEM II/BS,42.5N,0.797,122.1468685,fly_ash_bituminous_coal,208.7,,0,183.2203027,1.33,,0,,0,14.351
954,M1800,Ref a,CEM I,CEM I,52.5R,1,461.1,,0,,0,138.3,0.3,SP,3.73491,,0,98.9
955,M1800,Ref b,CEM I,CEM I,52.5R,1,344.8,,0,,0,137.9,0.4,SP,1.58608,,0,81.512
956,M1800,Ref c,CEM I,CEM I,52.5R,1,276.8,,0,,0,138.4,0.5,SP,1.19024,,0,73.692
957,M1800,HSM a,CEM I with GGBFS,CEM I,52.5R,1,272.65,GGBFS,272.65,,0,139.1,0.26,SP,2.23573,,0,105.064
958,M1800,HSM b,CEM I with GGBFS,CEM I,52.5R,1,205.1,GGBFS,205.1,,0,139.5,0.34,SP,1.39468,,0,88.78
959,M1800,HSM c,CEM I with GGBFS,CEM I,52.5R,1,163.2,GGBFS,163.2,,0,138.7,0.42,SP,0.8976,,0,69.552
961,Sennhenn 2014,Sommer,CEM II/ALL with fly_ash_bituminous_coal,CEM II/ALL,42.5R,N/A,310,fly_ash_bituminous_coal,50,,0,162,0.49,accelerator,2.79,,0,50.416
962,Sennhenn 2014,Winter,CEM II/ALL with fly_ash_bituminous_coal,CEM II/ALL,42.5R,N/A,330,fly_ash_bituminous_coal,30,,0,168,0.49,accelerator,2.97,,0,51.336
963,13993,A1,CEM I,CEM I,32.5R,1,382,,0,,0,152.8,0.4,air_entrainer,0.1719,,0,50.125
964,13993,A2,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,263,fly_ash_bituminous_coal,113,,0,150.4,0.49,air_entrainer,0.59964,,0,42.125
965,13993,A3,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,263,fly_ash_bituminous_coal,113,SF,18,150.4,0.49,air_entrainer,0.48129,SP,1.2361,50.5
966,13993,A4,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,265,fly_ash_bituminous_coal,113,SF,39,151.2,0.49,air_entrainer,0.5406,SP,3.6305,58.5
967,13993,A5,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,263,fly_ash_bituminous_coal,113,SF,56,150.4,0.49,air_entrainer,0.59964,SP,4.0765,61.25
968,13993,A6,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,262,fly_ash_bituminous_coal,113,SF,75,150,0.49,air_entrainer,0.71002,SP,5.6068,66.25
969,13993,A7,CEM I,CEM I,32.5R,1,299,,0,,0,149.5,0.5,air_entrainer,0.08073,,0,40
970,13993,A8,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,211,fly_ash_bituminous_coal,91,,0,151,0.61,air_entrainer,0.44943,,0,32.875
971,13993,A9,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,209,fly_ash_bituminous_coal,90,SF,15,149.5,0.61,air_entrainer,0.43054,SP,0.8987,38.25
972,13993,A10,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,209,fly_ash_bituminous_coal,90,SF,30,149.5,0.61,air_entrainer,0.44099,SP,2.9887,47
973,13993,A11,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,206,fly_ash_bituminous_coal,88,SF,45,147,0.61,air_entrainer,0.64066,SP,4.3878,51.875
974,13993,A12,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,208,fly_ash_bituminous_coal,90,SF,60,149,0.61,air_entrainer,0.40976,SP,4.368,58.125
975,13993,A13,CEM I,CEM I,32.5R,1,243,,0,,0,145.8,0.6,air_entrainer,0.08991,,0,29.375
976,13993,A14,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,171,fly_ash_bituminous_coal,74,,0,147,0.73,air_entrainer,0.29925,,0,23.125
977,13993,A15,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,172,fly_ash_bituminous_coal,74,SF,13,147.6,0.73,air_entrainer,0.02924,SP,1.0664,33.75
978,13993,A16,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,171,fly_ash_bituminous_coal,74,SF,24,147,0.73,air_entrainer,0.36081,SP,2.3769,38.75
979,13993,A17,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,172,fly_ash_bituminous_coal,74,SF,37,147.6,0.73,air_entrainer,0.41968,SP,4.5752,42.875
980,13993,A18,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,172,fly_ash_bituminous_coal,74,SF,49,147.6,0.73,air_entrainer,0.51084,SP,4.5236,45.75
981,13993,A19,CEM I,CEM I,32.5R,1,211,,0,,0,147.7,0.7,air_entrainer,0.09073,,0,24.125
982,13993,A20,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,150,fly_ash_bituminous_coal,64,,0,149.8,0.85,air_entrainer,0.3195,,0,16.625
983,13993,A21,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,149,fly_ash_bituminous_coal,63,SF,11,148.4,0.85,air_entrainer,0.25926,SP,0.9983,25.5
984,13993,A22,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,148,fly_ash_bituminous_coal,63,SF,21,147.7,0.85,air_entrainer,0.29008,SP,1.8352,30.375
985,13993,A23,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,149,fly_ash_bituminous_coal,63,SF,32,148.4,0.85,air_entrainer,0.35015,SP,3.0098,34.375
986,13993,A24,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,149,fly_ash_bituminous_coal,63,SF,43,148.4,0.85,air_entrainer,0.39038,SP,3.7995,40.5
987,13993,A25,CEM I,CEM I,32.5R,1,185,,0,,0,148,0.8,air_entrainer,0.0703,,0,19.625
988,13993,A26,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,130,fly_ash_bituminous_coal,56,,0,148.8,0.98,air_entrainer,0.2301,,0,12.625
989,13993,A27,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,131,fly_ash_bituminous_coal,56,SF,10,149.6,0.98,air_entrainer,0.23973,SP,1.0742,20.75
990,13993,A28,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,131,fly_ash_bituminous_coal,56,SF,18,149.6,0.98,air_entrainer,0.26986,SP,1.6637,24.5
991,13993,A29,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,130,fly_ash_bituminous_coal,55,SF,28,148,0.97,air_entrainer,0.2899,SP,2.431,27.125
992,13993,A30,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,130,fly_ash_bituminous_coal,56,SF,37,148.8,0.98,air_entrainer,0.3406,SP,2.964,28.5
993,13993,B1,CEM I,CEM I,32.5R,1,244,,0,,0,146.4,0.6,air_entrainer,0.09028,,0,25.948
994,13993,B2,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,173,fly_ash_bituminous_coal,74,,0,148.2,0.73,air_entrainer,0.2595,,0,21.946
995,13993,B3,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,171,fly_ash_bituminous_coal,73,SF,13,146.4,0.73,air_entrainer,0.2907,SP,0.9747,28.494
996,13993,B4,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,170,fly_ash_bituminous_coal,72,SF,24,145.2,0.73,air_entrainer,0.2907,SP,2.312,35.648
997,13993,B5,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,169,fly_ash_bituminous_coal,72,SF,36,144.6,0.73,air_entrainer,0.41067,SP,5.2221,38.073
998,13993,B6,CEM I with fly_ash_bituminous_coal & SF,CEM I,32.5R,1,170,fly_ash_bituminous_coal,72,SF,49,145.2,0.73,air_entrainer,0.4692,SP,3.57,36.981
999,22583,A. w,CEM I,CEM I,,1,300,,0,,0,188,0.63,,0,,0,41.516
1000,22583,B (FA M367). w,CEM I with fly_ash_bituminous_coal,CEM I,,1,271,fly_ash_bituminous_coal,48,,0,180,0.62,,0,,0,43.65
1001,22583,C (FA M367). w,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,44.717
1002,22583,D (FA M367). w,CEM I with fly_ash_bituminous_coal,CEM I,,1,196,fly_ash_bituminous_coal,196,,0,162,0.59,,0,,0,42.001
1003,22583,E (FA M368). w,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,45.299
1004,22583,F (FA M369). w,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,44.232
1005,22583,A. 1,CEM I,CEM I,,1,300,,0,,0,188,0.63,,0,,0,34.047
1006,22583,B (FA M367). 1,CEM I with fly_ash_bituminous_coal,CEM I,,1,271,fly_ash_bituminous_coal,48,,0,180,0.62,,0,,0,34.92
1007,22583,C (FA M367). 1,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,29.963
1008,22583,D (FA M367). 1,CEM I with fly_ash_bituminous_coal,CEM I,,1,196,fly_ash_bituminous_coal,196,,0,162,0.59,,0,,0,25.618
1009,22583,E (FA M368). 1,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,34.881
1010,22583,F (FA M369). 1,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,32.291
1011,22583,A. 2,CEM I,CEM I,,1,300,,0,,0,188,0.63,,0,,0,39.44
1012,22583,B (FA M367). 2,CEM I with fly_ash_bituminous_coal,CEM I,,1,271,fly_ash_bituminous_coal,48,,0,180,0.62,,0,,0,41.468
1013,22583,C (FA M367). 2,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,33.543
1014,22583,D (FA M367). 2,CEM I with fly_ash_bituminous_coal,CEM I,,1,196,fly_ash_bituminous_coal,196,,0,162,0.59,,0,,0,30.662
1015,22583,E (FA M368). 2,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,37.597
1016,22583,F (FA M369). 2,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,38.043
1017,22583,A. 3,CEM I,CEM I,,1,300,,0,,0,188,0.63,,0,,0,39.857
1018,22583,B (FA M367). 3,CEM I with fly_ash_bituminous_coal,CEM I,,1,271,fly_ash_bituminous_coal,48,,0,180,0.62,,0,,0,41.468
1019,22583,C (FA M367). 3,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,35.774
1020,22583,D (FA M367). 3,CEM I with fly_ash_bituminous_coal,CEM I,,1,196,fly_ash_bituminous_coal,196,,0,162,0.59,,0,,0,33.601
1021,22583,E (FA M368). 3,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,39.411
1022,22583,F (FA M369). 3,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,43.786
1023,22583,A. 7,CEM I,CEM I,,1,300,,0,,0,188,0.63,,0,,0,40.872
1024,22583,B (FA M367). 7,CEM I with fly_ash_bituminous_coal,CEM I,,1,271,fly_ash_bituminous_coal,48,,0,180,0.62,,0,,0,38.552
1025,22583,C (FA M367). 7,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,35.384
1026,22583,D (FA M367). 7,CEM I with fly_ash_bituminous_coal,CEM I,,1,196,fly_ash_bituminous_coal,196,,0,162,0.59,,0,,0,36.321
1027,22583,E (FA M368). 7,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,40.426
1028,22583,F (FA M369). 7,CEM I with fly_ash_bituminous_coal,CEM I,,1,242,fly_ash_bituminous_coal,104,,0,173,0.61,,0,,0,40.283
1029,22671,A 1,CEM I,CEM I,32.5R,1,411,,0,,0,166,0.4,,0,,0,60.5
1030,22671,A 2,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,279,fly_ash_bituminous_coal,119,,0,161,0.49,,0,,0,41.25
1031,22671,A 3,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,326,fly_ash_bituminous_coal,81,,0,165,0.46,,0,,0,45.375
1032,22671,A 4,CEM I,CEM I,32.5R,1,297,,0,,0,165,0.56,,0,,0,32.125
1033,22671,A 5,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,238,fly_ash_bituminous_coal,59,,0,165,0.63,,0,,0,23.75
1034,22671,A 6,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,208,fly_ash_bituminous_coal,87,,0,162,0.67,,0,,0,23.125
1035,22671,A 7,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,238,fly_ash_bituminous_coal,59,,0,165,0.63,,0,,0,25
1036,22671,B 8,CEM I,CEM I,42.5R,1,408,,0,,0,169,0.41,,0,,0,64.875
1037,22671,B 9,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,323,fly_ash_bituminous_coal,80,,0,163,0.46,,0,,0,62.875
1038,22671,B 10,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,279,fly_ash_bituminous_coal,120,,0,164,0.5,,0,,0,59.625
1039,22671,B 11,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,285,fly_ash_bituminous_coal,122,,0,168,0.5,,0,,0,58.25
1040,22671,B 12,CEM I,CEM I,42.5R,1,300,,0,,0,165,0.55,,0,,0,50.375
1041,22671,B 13,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,208,fly_ash_bituminous_coal,89,,0,165,0.68,,0,,0,41.125
1042,22671,B 14,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,208,fly_ash_bituminous_coal,89,,0,165,0.68,,0,,0,44.875
1043,22671,C 15,CEM I,CEM I,42.5R,1,415,,0,,0,166,0.4,,0,,0,54.375
1044,22671,C 16,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,326,fly_ash_bituminous_coal,81,,0,163,0.45,,0,,0,52.25
1045,22671,C 17,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,326,fly_ash_bituminous_coal,81,,0,163,0.45,,0,,0,53.5
1046,22671,C 18,CEM I,CEM I,42.5R,1,300,,0,,0,165,0.55,,0,,0,37.625
1047,22671,C 19,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,238,fly_ash_bituminous_coal,59,,0,163,0.62,,0,,0,32.75
1048,22671,C 20,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,208,fly_ash_bituminous_coal,89,,0,163,0.67,,0,,0,31.5
1049,22671,C 21,CEM I with fly_ash_bituminous_coal,CEM I,42.5R,1,208,fly_ash_bituminous_coal,59,,0,163,0.7,,0,,0,35
1050,77506,1.14,CEM I with GGBFS & fly_ash_bituminous_coal,CEM I,,1,200,GGBFS,89,fly_ash_bituminous_coal,89,180,0.55,,0,,0,36.375
1051,77506,1.16,CEM I with GGBFS & fly_ash_bituminous_coal,CEM I,,1,200,GGBFS,83,fly_ash_bituminous_coal,83,174,0.55,,0,,0,37.625
1052,77506,1.17,CEM I with GGBFS & fly_ash_bituminous_coal,CEM I,,1,200,GGBFS,79,fly_ash_bituminous_coal,79,171,0.55,,0,,0,43.875
1053,77506,1.18,CEM I with GGBFS & fly_ash_bituminous_coal,CEM I,,1,200,GGBFS,76,fly_ash_bituminous_coal,76,168,0.55,,0,,0,42.125
1054,77506,1.19,CEM I with GGBFS & fly_ash_bituminous_coal,CEM I,,1,200,GGBFS,73,fly_ash_bituminous_coal,73,165,0.55,,0,,0,37.75
1055,77506,1.2,CEM I with GGBFS & fly_ash_bituminous_coal,CEM I,,1,200,GGBFS,69,fly_ash_bituminous_coal,69,162,0.55,,0,,0,35.625
1056,60550,400–0,CEM I,CEM I,,1,400,,0,,0,146.4,0.37,SP,6,,0,75.175
1057,60550,400–10,CEM I with fly_ash_bituminous_coal,CEM I,,1,360,fly_ash_bituminous_coal,40,,0,137.2,0.36,SP,6.12,,0,91.18
1058,60550,400–15,CEM I with fly_ash_bituminous_coal,CEM I,,1,340,fly_ash_bituminous_coal,60,,0,150.9,0.41,SP,6.12,,0,71.295
1059,60550,500–0,CEM I,CEM I,,1,500,,0,,0,178.4,0.36,SP,7.5,,0,89.725
1060,60550,500–10,CEM I with fly_ash_bituminous_coal,CEM I,,1,450,fly_ash_bituminous_coal,50,,0,115.3,0.25,SP,7.65,,0,107.67
1061,60550,500–15,CEM I with fly_ash_bituminous_coal,CEM I,,1,425,fly_ash_bituminous_coal,75,,0,133.6,0.29,SP,7.65,,0,98.94
1062,78216,1,CEM I,CEM I,32.5R,1,331,,0,,0,165,0.5,accelerator,1.1585,,0,48.621
1063,78216,2,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,207,fly_ash_bituminous_coal,89,,0,157,0.67,accelerator,0.7245,,0,51.531
1064,78216,3,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,150,fly_ash_bituminous_coal,150,,0,139,0.82,accelerator,0.525,,0,50.683
1065,78216,4,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,273,fly_ash_bituminous_coal,117,,0,163,0.53,accelerator,0.9555,,0,67.9
1066,78216,5,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,202,fly_ash_bituminous_coal,202,,0,155,0.68,accelerator,0.707,,0,67.536
1067,78216,MW 6  9,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,213.25,fly_ash_bituminous_coal,142.3,,0,153.25,0.63,accelerator,0.746375,,0,63.565
1068,78216,10,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,213,fly_ash_bituminous_coal,91,,0,159,0.66,accelerator,0.7455,,0,43.529
1069,78216,11,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,150,fly_ash_bituminous_coal,150,,0,151,0.89,accelerator,0.525,,0,33.95
1070,78216,12,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,274,fly_ash_bituminous_coal,117,,0,174,0.56,accelerator,0.959,,0,54.078
1071,78216,13,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,204,fly_ash_bituminous_coal,204,,0,161,0.7,accelerator,0.714,,0,53.108
