Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
61,2014,Duan and Poon,0.34,277.14,0,692.86,485,2370,,20,,7.1,,,4x4x4 Cube,71.2
62,2014,Duan and Poon,0.34,277.14,0,692.86,485,2360,,20,,7.8,,,4x4x4 Cube,65.4
66,2008,Casuccio et al.,0.35,0,474.1,862,431,,2700,,10,,0.5,,4x8 Cylinder,37.5
67,2008,Casuccio et al.,0.35,982.1,0,854,427,2500,,30,,3.8,,,4x8 Cylinder,36.4
69,2014,Cui et al.,0.35,320,0,800,400,2591,,19,,5.67,,72,,49
70,2014,Cui et al.,0.35,320,0,800,400,2591,,19,,5.67,,81,,56
71,2014,Cui et al.,0.35,320,0,800,400,2591,,19,,5.67,,79,,54
72,2015,Gayarre et al.,0.35,880,0,800,400,2480,,10,,5.77,,,6x12 Cylinder,33.6
73,2015,Haitao and Shizhu,0.35,0,557,557,557,,2780,,32,,0.72,80,6x6x6 Cube,60.3
74,2015,Haitao and Shizhu,0.35,167.1,389.9,557,557,2492,2780,32,32,3.87,0.72,75,6x6x6 Cube,60
75,2015,Haitao and Shizhu,0.35,278.5,278.5,557,557,2492,2780,32,32,3.87,0.72,70,6x6x6 Cube,60.9
76,2015,Haitao and Shizhu,0.35,445.6,111.4,557,557,2492,2780,32,32,3.87,0.72,50,6x6x6 Cube,57.4
77,2015,Haitao and Shizhu,0.35,557,0,557,557,2492,,32,,3.87,,35,6x6x6 Cube,57.1
78,2015,Vivian et al.,0.35,0,352.73,727.27,400,,2720,,20,,0.57,75,4x8 Cylinder,68.01
79,2015,Vivian et al.,0.35,105.82,246.91,727.27,400,2640,2720,20,20,2.68,0.57,70,4x8 Cylinder,56.21
80,2015,Vivian et al.,0.35,352.73,0,727.27,400,2640,,20,,2.68,,60,4x8 Cylinder,46
81,2018,Chaocan Zheng et al.,0.35,0,739.2,528,528,,2687,,0,,1.2,,4x4x4 Cube,51
82,2018,Chaocan Zheng et al.,0.35,0,739.2,528,528,,2687,,7.1,,1.2,,4x4x4 Cube,50.78
83,2018,Chaocan Zheng et al.,0.35,184.8,554.4,528,528,2214,2687,7.36,7.1,2.7,1.2,,4x4x4 Cube,49.66
84,2018,Chaocan Zheng et al.,0.35,184.8,554.4,528,528,2214,2687,7.05,7.1,14.9,1.2,,4x4x4 Cube,49.36
85,2018,Chaocan Zheng et al.,0.35,369.6,369.6,528,528,2214,2687,7.36,7.1,2.7,1.2,,4x4x4 Cube,47.93
86,2018,Chaocan Zheng et al.,0.35,369.6,369.6,528,528,2214,2687,7.05,7.1,14.9,1.2,,4x4x4 Cube,47.1
87,2018,Chaocan Zheng et al.,0.35,554.4,184.8,528,528,2214,2687,7.36,7.1,2.7,1.2,,4x4x4 Cube,46.9
88,2018,Chaocan Zheng et al.,0.35,554.4,184.8,528,528,2214,2687,7.05,7.1,14.9,1.2,,4x4x4 Cube,45.1
