source_column,target_table,target_column,extra_kwargs
study_number,concrete_mix,mix_code,"{""prefix"": ""DS6-""}"
mix_number,concrete_mix,notes,"{""prefix"": ""Mix number: ""}"
Cement (kg/m3),mix_component,dosage_kg_m3,"{""class_code"": ""CEMENT"", ""subtype_code"": ""CEM I"", ""specific_name"": ""Ordinary Portland Cement"", ""is_cementitious"": true, ""reference_key"": ""CEMENT""}"
fly_ash_kg_m3,mix_component,dosage_kg_m3,"{""class_code"": ""SCM"", ""subtype_code"": ""FA"", ""specific_name"": ""Fly Ash"", ""is_cementitious"": true, ""reference_key"": ""FA""}"
ggbfs_kg_m3,mix_component,dosage_kg_m3,"{""class_code"": ""SCM"", ""subtype_code"": ""GGBFS"", ""specific_name"": ""Ground Granulated Blast Furnace Slag"", ""is_cementitious"": true, ""reference_key"": ""GGBFS""}"
nca_kg_m3,mix_component,dosage_kg_m3,"{""class_code"": ""AGGR_C"", ""subtype_code"": ""NCA"", ""specific_name"": ""Natural Coarse Aggregate"", ""reference_key"": ""NCA""}"
rca_kg_m3,mix_component,dosage_kg_m3,"{""class_code"": ""AGGR_C"", ""subtype_code"": ""RCA"", ""specific_name"": ""Recycled Coarse Aggregate"", ""reference_key"": ""RCA""}"
water_kg_m3,mix_component,dosage_kg_m3,"{""class_code"": ""WATER"", ""subtype_code"": ""WATER"", ""specific_name"": ""Water"", ""reference_key"": ""WATER""}"
w_c_ratio,concrete_mix,w_c_ratio,{}
nca_sg,aggregate_detail,bulk_density_kg_m3,"{""material_ref_key"": ""NCA""}"
nca_w_abs_pct,aggregate_detail,water_absorption_pct,"{""material_ref_key"": ""NCA""}"
rca_sg,aggregate_detail,bulk_density_kg_m3,"{""material_ref_key"": ""RCA""}"
rca_w_abs_pct,aggregate_detail,water_absorption_pct,"{""material_ref_key"": ""RCA""}"
fc_cube_1,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 1, ""specimen_type"": ""cube""}"
fc_cube_3,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 3, ""specimen_type"": ""cube""}"
fc_cube_7,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 7, ""specimen_type"": ""cube""}"
fc_cube_28,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 28, ""specimen_type"": ""cube""}"
fc_cyl_1d,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 1, ""specimen_type"": ""cylinder""}"
fc_cyl_3d,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 3, ""specimen_type"": ""cylinder""}"
fc_cyl_7d,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 7, ""specimen_type"": ""cylinder""}"
fc_cyl_14d,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 14, ""specimen_type"": ""cylinder""}"
fc_cyl_28d,performance_result,value_num,"{""category"": ""hardened"", ""test_name"": ""compressive_strength"", ""age_days"": 28, ""specimen_type"": ""cylinder""}"
